"ngram_full","ngram_tail","ngram_head","freq"
"Christmas movie","movie","Christmas",5
"Christmas new","new","Christmas",3
"Christmas not","not","Christmas",2
"Christmas ornaments","ornaments","Christmas",6
"Christmas plans","plans","Christmas",2
"Christmas presents","presents","Christmas",29
"Christmas projects","projects","Christmas",2
"Christmas time","time","Christmas",26
"Christmas travel","travel","Christmas",2
"Christmas tree","tree","Christmas",87
"Christmas tunes","tunes","Christmas",3
"Christmas which","which","Christmas",6
"Christopher Cerf","Cerf","Christopher",8
"Christopher I","I","Christopher",2
"Christopher Jones","Jones","Christopher",2
"Chrysler Group","Group","Chrysler",9
"Chrysler has","has","Chrysler",22
"Chrysler is","is","Chrysler",5
"Chrysler will","will","Chrysler",3
"Chu a","a","Chu",3
"Church I","I","Church",9
"Church and","and","Church",63
"Church in","in","Church",120
"Church said","said","Church",2
"Churches and","and","Churches",4
"Churchill Downs","Downs","Churchill",34
"Churchill who","who","Churchill",2
"Cincinnati I","I","Cincinnati",7
"Cincinnati for","for","Cincinnati",3
"Cincinnati had","had","Cincinnati",2
"Cincinnati or","or","Cincinnati",2
"Cinco de","de","Cinco",187
"Cindy Schild","Schild","Cindy",2
"Cinque Terre","Terre","Cinque",3
"Circle and","and","Circle",9
"Circle of","of","Circle",20
"Circle s","s","Circle",6
"Circuit Court","Court","Circuit",108
"Circuit Judge","Judge","Circuit",51
"Circus a","a","Circus",3
"Cities on","on","Cities",3
"Citizens Prom","Prom","Citizens",2
"City Baptist","Baptist","City",2
"City Club","Club","City",26
"City College","College","City",21
"City Council","Council","City",432
"City Hall","Hall","City",204
"City I","I","City",40
"City Manager","Manager","City",51
"City Milwaukee","Milwaukee","City",3
"City Music","Music","City",19
"City Park","Park","City",18
"City Public","Public","City",7
"City Schools","Schools","City",11
"City She","She","City",4
"City The","The","City",70
"City University","University","City",12
"City and","and","City",185
"City at","at","City",14
"City called","called","City",3
"City casinos","casinos","City",6
"City had","had","City",10
"City has","has","City",37
"City if","if","City",3
"City is","is","City",76
"City of","of","City",188
"City records","records","City",2
"City remains","remains","City",3
"City subway","subway","City",3
"City then","then","City",5
"City they","they","City",7
"City to","to","City",61
"City today","today","City",9
"City where","where","City",28
"City which","which","City",19
"City who","who","City",11
"Ciuni said","said","Ciuni",2
"Civil Liberties","Liberties","Civil",35
"Civil Rights","Rights","Civil",63
"Civil Service","Service","Civil",11
"Civil liberties","liberties","Civil",3
"Claire and","and","Claire",13
"Claire has","has","Claire",2
"Clara is","is","Clara",4
"Clarity Legal","Legal","Clarity",4
"Clark We","We","Clark",3
"Clark and","and","Clark",32
"Clark but","but","Clark",2
"Clark dead","dead","Clark",3
"Clark said","said","Clark",32
"Clarke at","at","Clarke",2
"Clarke said","said","Clarke",4
"Clarkson s","s","Clarkson",3
"Class A","A","Class",132
"Class B","B","Class",9
"Class champion","champion","Class",5
"Class of","of","Class",62
"Class state","state","Class",12
"Claudia I","I","Claudia",2
"Clausen and","and","Clausen",2
"Clayton for","for","Clayton",2
"Clayton will","will","Clayton",3
"Clean Water","Water","Clean",20
"Clear Politics","Politics","Clear",3
"Clearly the","the","Clearly",30
"Clemens perjury","perjury","Clemens",3
"Clemente High","High","Clemente",5
"Cleo Coyle","Coyle","Cleo",4
"Cleveland After","After","Cleveland",5
"Cleveland Akron","Akron","Cleveland",4
"Cleveland Browns","Browns","Cleveland",57
"Cleveland Columbus","Columbus","Cleveland",6
"Cleveland Connects","Connects","Cleveland",2
"Cleveland Foundation","Foundation","Cleveland",13
"Cleveland Hearing","Hearing","Cleveland",2
"Cleveland In","In","Cleveland",10
"Cleveland Institute","Institute","Cleveland",16
"Cleveland State","State","Cleveland",34
"Cleveland The","The","Cleveland",38
"Cleveland and","and","Cleveland",94
"Cleveland can","can","Cleveland",4
"Cleveland for","for","Cleveland",27
"Cleveland is","is","Cleveland",52
"Cleveland ranked","ranked","Cleveland",2
"Cleveland s","s","Cleveland",163
"Cleveland than","than","Cleveland",2
"Cleveland there","there","Cleveland",2
"Cleveland to","to","Cleveland",35
"Cleveland would","would","Cleveland",2
"Cliche I","I","Cliche",2
"Click HERE","HERE","Click",10
"Click here","here","Click",44
"Cliff Lee","Lee","Cliff",13
"Cliff May","May","Cliff",5
"Cliffs Natural","Natural","Cliffs",2
"Climate Change","Change","Climate",19
"Cline What","What","Cline",2
"Clint Eastwood","Eastwood","Clint",22
"Clinton would","would","Clinton",2
"Clip No","No","Clip",6
"Clock in","in","Clock",2
"Clooney was","was","Clooney",3
"Close to","to","Close",26
"Closing Prayer","Prayer","Closing",3
"Clown among","among","Clown",2
"Club Get","Get","Club",2
"Club I","I","Club",13
"Club at","at","Club",17
"Club from","from","Club",2
"Club have","have","Club",3
"Club next","next","Club",2
"Club that","that","Club",4
"Club were","were","Club",7
"Co at","at","Co",7
"Co is","is","Co",20
"Co v","v","Co",4
"CoFounder of","of","CoFounder",3
"Coach Mike","Mike","Coach",9
"Coach and","and","Coach",9
"Coalition said","said","Coalition",2
"Coast Guard","Guard","Coast",103
"Coast Highway","Highway","Coast",12
"Cobb and","and","Cobb",7
"Coconut and","and","Coconut",4
"Code at","at","Code",2
"Code so","so","Code",2
"Cody are","are","Cody",2
"Coffee Friday","Friday","Coffee",3
"Coffee is","is","Coffee",24
"Cofounder of","of","Cofounder",2
"Cohen or","or","Cohen",3
"Cohen said","said","Cohen",18
"Cohn said","said","Cohn",3
"Coke s","s","Coke",2
"Cold War","War","Cold",65
"Cole has","has","Cole",4
"Collapse of","of","Collapse",3
"Collection I","I","Collection",8
"Collection development","development","Collection",2
"Collections and","and","Collections",3
"College After","After","College",2
"College It","It","College",5
"College London","London","College",5
"College River","River","College",4
"College Station","Station","College",14
"College System","System","College",2
"College The","The","College",10
"College We","We","College",3
"College and","and","College",46
"College can","can","College",3
"College from","from","College",4
"College graduates","graduates","College",3
"College of","of","College",149
"College will","will","College",14
"Collins first","first","Collins",2
"Collins to","to","Collins",5
"Color in","in","Color",4
"Colorado Academy","Academy","Colorado",7
"Colorado Sports","Sports","Colorado",2
"Colorado US","US","Colorado",3
"Colorado Washington","Washington","Colorado",2
"Colorado and","and","Colorado",49
"Colton Dixon","Dixon","Colton",6
"Colts from","from","Colts",2
"Colts will","will","Colts",7
"Columbia Boulevard","Boulevard","Columbia",2
"Columbia Energy","Energy","Columbia",2
"Columbus Dayton","Dayton","Columbus",3
"Columbus He","He","Columbus",5
"Columbus Mayor","Mayor","Columbus",2
"Columbus and","and","Columbus",24
"Columbus to","to","Columbus",11
"Columbus which","which","Columbus",2
"Combine cup","cup","Combine",7
"Combine the","the","Combine",36
"Combined the","the","Combined",5
"Combo Kit","Kit","Combo",3
"Come Out","Out","Come",3
"Come Together","Together","Come",2
"Come at","at","Come",4
"Come back","back","Come",78
"Come be","be","Come",6
"Come by","by","Come",105
"Come check","check","Come",93
"Come claim","claim","Come",3
"Come down","down","Come",36
"Come grab","grab","Come",10
"Come hang","hang","Come",27
"Come have","have","Come",18
"Come in","in","Come",99
"Come into","into","Come",14
"Come join","join","Come",85
"Come on","on","Come",565
"Come one","one","Come",14
"Come out","out","Come",135
"Come see","see","Come",154
"Come support","support","Come",10
"Come the","the","Come",10
"Come to","to","Come",232
"Come try","try","Come",15
"Comedy has","has","Comedy",2
"Comedy show","show","Comedy",2
"Comics is","is","Comics",4
"Coming into","into","Coming",14
"Coming just","just","Coming",2
"Coming up","up","Coming",65
"Commerce s","s","Commerce",9
"Commission and","and","Commission",32
"Commission had","had","Commission",2
"Commission member","member","Commission",4
"Commission of","of","Commission",23
"Commission on","on","Commission",39
"Commission to","to","Commission",23
"Commissioned by","by","Commissioned",4
"Commissioner Christopher","Christopher","Commissioner",5
"Commissioner Rochelle","Rochelle","Commissioner",5
"Commissioner of","of","Commissioner",13
"Committee This","This","Committee",3
"Committee last","last","Committee",5
"Committee said","said","Committee",33
"Committee this","this","Committee",4
"Common Sense","Sense","Common",10
"Commons shopping","shopping","Commons",2
"Commonwealth Stadium","Stadium","Commonwealth",2
"Communications Commission","Commission","Communications",20
"Community Action","Action","Community",22
"Community College","College","Community",138
"Community Foundation","Foundation","Community",9
"Community Rock","Rock","Community",2
"Community Service","Service","Community",15
"Community for","for","Community",5
"Community is","is","Community",12
"Company Pizza","Pizza","Company",2
"Company and","and","Company",15
"Company of","of","Company",11
"Company this","this","Company",2
"Company will","will","Company",10
"Compared with","with","Compared",19
"Competition for","for","Competition",5
"Complaint that","that","Complaint",2
"Complete with","with","Complete",8
"Completely understand","understand","Completely",2
"Computer games","games","Computer",2
"Computers in","in","Computers",2
"Concert May","May","Concert",2
"Concerto This","This","Concerto",2
"Condoleezza Rice","Rice","Condoleezza",7
"Condolences to","to","Condolences",6
"Condon of","of","Condon",2
"Cone of","of","Cone",4
"Conerly a","a","Conerly",2
"Conference Center","Center","Conference",25
"Conference Finals","Finals","Conference",11
"Conference for","for","Conference",3
"Conference of","of","Conference",26
"Conference semifinals","semifinals","Conference",15
"Conference title","title","Conference",9
"Conference with","with","Conference",7
"Congrads to","to","Congrads",2
"Congrats Is","Is","Congrats",2
"Congrats It","It","Congrats",6
"Congrats on","on","Congrats",329
"Congrats to","to","Congrats",590
"Congratulations Dr","Dr","Congratulations",4
"Congratulations Good","Good","Congratulations",3
"Congratulations I","I","Congratulations",16
"Congratulations to","to","Congratulations",271
"Congratulations you","you","Congratulations",6
"Congress But","But","Congress",7
"Congress Theater","Theater","Congress",4
"Congress They","They","Congress",4
"Congress for","for","Congress",14
"Congress have","have","Congress",12
"Congress in","in","Congress",45
"Congress is","is","Congress",40
"Congress passed","passed","Congress",22
"Congress to","to","Congress",87
"Congressional approval","approval","Congressional",3
"Congressman Ron","Ron","Congressman",2
"Conley So","So","Conley",2
"Conley said","said","Conley",5
"Connections is","is","Connections",2
"Connick Jr","Jr","Connick",5
"Connor s","s","Connor",8
"Conservation Society","Society","Conservation",3
"Conservative party","party","Conservative",6
"Consider all","all","Consider",3
"Consider the","the","Consider",47
"Considering a","a","Considering",8
"Consolidated Media","Media","Consolidated",2
"Constitution I","I","Constitution",7
"Constitution was","was","Constitution",8
"Consumer spending","spending","Consumer",11
"Consumers Energy","Energy","Consumers",3
"Consumers are","are","Consumers",12
"Consumers have","have","Consumers",5
"Contact Us","Us","Contact",2
"Contact us","us","Contact",70
"Contemplating the","the","Contemplating",2
"Contest and","and","Contest",7
"Contest for","for","Contest",5
"Continue to","to","Continue",38
"Contrary to","to","Contrary",42
"Control and","and","Control",55
"Control report","report","Control",2
"Convention Visitors","Visitors","Convention",8
"Convention on","on","Convention",8
"Conversely if","if","Conversely",4
"Cook is","is","Cook",7
"Cook minutes","minutes","Cook",7
"Cook s","s","Cook",43
"Cook to","to","Cook",9
"Cooking with","with","Cooking",10
"Cool Just","Just","Cool",4
"Cool Thanks","Thanks","Cool",13
"Cool The","The","Cool",5
"Cool completely","completely","Cool",5
"Cool on","on","Cool",14
"Cool the","the","Cool",8
"Cool to","to","Cool",12
"Cooperation Council","Council","Cooperation",4
"Coors Light","Light","Coors",16
"Copeland executive","executive","Copeland",3
"Coples is","is","Coples",2
"Copley Township","Township","Copley",8
"Cor I","I","Cor",3
"Cor Jesu","Jesu","Cor",17
"Coraline s","s","Coraline",3
"Cordless Impact","Impact","Cordless",2
"Cordon Bleu","Bleu","Cordon",11
"Cordray has","has","Cordray",3
"Corinne Bailey","Bailey","Corinne",4
"Corinthians KJV","KJV","Corinthians",2
"Corned Beef","Beef","Corned",5
"Cornell University","University","Cornell",18
"Corner to","to","Corner",3
"Corolla and","and","Corolla",3
"Corolla with","with","Corolla",2
"Corp Fd","Fd","Corp",2
"Corp fell","fell","Corp",7
"Corp in","in","Corp",18
"Corp owns","owns","Corp",2
"Corp s","s","Corp",39
"Corp to","to","Corp",9
"Corp up","up","Corp",2
"Corp which","which","Corp",20
"Corporate sponsors","sponsors","Corporate",3
"Corporation the","the","Corporation",4
"Corporations can","can","Corporations",2
"Corps Air","Air","Corps",2
"Corps and","and","Corps",7
"Correspondents Dinner","Dinner","Correspondents",13
"Cosco Busan","Busan","Cosco",3
"Cost Free","Free","Cost",11
"Cost of","of","Cost",16
"Costa Rican","Rican","Costa",5
"Costello said","said","Costello",4
"Could Kill","Kill","Could",2
"Could be","be","Could",78
"Could we","we","Could",19
"Could you","you","Could",95
"Couldnt be","be","Couldnt",4
"Council Elections","Elections","Council",2
"Council President","President","Council",38
"Council members","members","Council",62
"Council of","of","Council",105
"Council on","on","Council",72
"Council s","s","Council",30
"Council with","with","Council",3
"Councilman Bruce","Bruce","Councilman",2
"Councilman Dion","Dion","Councilman",2
"Councilman Steve","Steve","Councilman",6
"Count on","on","Count",9
"Country meets","meets","Country",2
"Country or","or","Country",2
"County Assistant","Assistant","County",22
"County Bar","Bar","County",8
"County Calif","Calif","County",5
"County Circuit","Circuit","County",68
"County Commission","Commission","County",12
"County Councilman","Councilman","County",9
"County Election","Election","County",4
"County Fair","Fair","County",19
"County Fairgrounds","Fairgrounds","County",9
"County Government","Government","County",5
"County It","It","County",19
"County Jail","Jail","County",105
"County Police","Police","County",22
"County Public","Public","County",23
"County Registrar","Registrar","County",2
"County Sheriff","Sheriff","County",169
"County Sheriffs","Sheriffs","County",36
"County Superior","Superior","County",48
"County The","The","County",59
"County a","a","County",20
"County about","about","County",7
"County alleging","alleging","County",2
"County area","area","County",7
"County case","case","County",5
"County investigators","investigators","County",4
"County library","library","County",2
"County officials","officials","County",37
"County police","police","County",31
"County residents","residents","County",26
"County s","s","County",123
"County this","this","County",8
"County water","water","County",2
"County which","which","County",30
"County wine","wine","County",3
"Course at","at","Course",4
"Court But","But","Court",7
"Court Judge","Judge","Court",111
"Court Street","Street","Court",9
"Court This","This","Court",5
"Court and","and","Court",33
"Court filing","filing","Court",2
"Court heard","heard","Court",7
"Court in","in","Court",134
"Court it","it","Court",3
"Court judge","judge","Court",37
"Court of","of","Court",166
"Court said","said","Court",7
"Court this","this","Court",6
"Courtesy of","of","Courtesy",11
"Courtney s","s","Courtney",9
"Couture and","and","Couture",2
"Cover and","and","Cover",38
"Coverage Index","Index","Coverage",7
"Cox Communications","Communications","Cox",4
"Cox RLivonia","RLivonia","Cox",2
"Cox and","and","Cox",16
"Coyle is","is","Coyle",2
"Coz if","if","Coz",2
"Craft and","and","Craft",8
"Craig and","and","Craig",15
"Craig is","is","Craig",8
"Crate Barrel","Barrel","Crate",10
"Crawford to","to","Crawford",7
"Crazy for","for","Crazy",5
"Crazy how","how","Crazy",13
"Cream Parlor","Parlor","Cream",2
"Crean was","was","Crean",3
"Creative Cause","Cause","Creative",7
"Creative Corner","Corner","Creative",7
"Creator and","and","Creator",5
"Credit Suisse","Suisse","Credit",12
"Creek at","at","Creek",9
"Creek in","in","Creek",11
"Creek pm","pm","Creek",6
"Creek which","which","Creek",7
"Crest Drive","Drive","Crest",2
"Crest in","in","Crest",2
"Crew member","member","Crew",3
"Cricut Class","Class","Cricut",2
"Cricut Expression","Expression","Cricut",5
"Crime The","The","Crime",3
"Crist s","s","Crist",3
"Cross and","and","Cross",21
"Cross in","in","Cross",10
"Cross was","was","Cross",4
"Crossing The","The","Crossing",3
"Crown Point","Point","Crown",6
"Cruise is","is","Cruise",4
"Cruises Each","Each","Cruises",2
"Crush Favorite","Favorite","Crush",4
"Cruz and","and","Cruz",16
"Crystal Gardens","Gardens","Crystal",2
"Crystal River","River","Crystal",3
"Cultural Center","Center","Cultural",35
"Cuomo of","of","Cuomo",4
"Cup Final","Final","Cup",11
"Cup action","action","Cup",2
"Cup final","final","Cup",22
"Curiosity is","is","Curiosity",4
"Curtis the","the","Curtis",3
"Customer Care","Care","Customer",2
"Customs Enforcement","Enforcement","Customs",29
"Cut Socks","Socks","Cut",2
"Cut the","the","Cut",46
"Cuyahoga Community","Community","Cuyahoga",12
"Cuyahoga County","County","Cuyahoga",292
"Cuz I","I","Cuz",27
"D Alessandro","Alessandro","D",6
"D Amico","Amico","D",5
"D Are","Are","D",9
"D Boys","Boys","D",3
"D D","D","D",38
"D Go","Go","D",3
"D Good","Good","D",14
"D Halloween","Halloween","D",2
"D I","I","D",452
"D Ill","Ill","D",5
"D Jango","Jango","D",2
"D Join","Join","D",3
"D Love","Love","D",19
"D Oh","Oh","D",16
"D Pretty","Pretty","D",4
"D Qwell","Qwell","D",7
"D RT","RT","D",76
"D The","The","D",71
"D Those","Those","D",2
"D Where","Where","D",3
"D YOU","YOU","D",4
"D Yes","Yes","D",13
"D You","You","D",47
"D also","also","D",4
"D and","and","D",104
"D aww","aww","D",3
"D before","before","D",2
"D conversion","conversion","D",2
"D do","do","D",5
"D doesn","doesn","D",3
"D follow","follow","D",2
"D from","from","D",11
"D high","high","D",2
"D i","i","D",59
"D im","im","D",11
"D isn","isn","D",3
"D lol","lol","D",38
"D only","only","D",2
"D then","then","D",3
"D you","you","D",40
"DA s","s","DA",21
"DAS Construction","Construction","DAS",4
"DAX index","index","DAX",8
"DAY TO","TO","DAY",21
"DC A","A","DC",3
"DC I","I","DC",38
"DC are","are","DC",3
"DC for","for","DC",46
"DC will","will","DC",6
"DD in","in","DD",2
"DE in","in","DE",3
"DEA agents","agents","DEA",5
"DEssex It","It","DEssex",2
"DH is","is","DH",7
"DH today","today","DH",2
"DID HE","HE","DID",4
"DIDN T","T","DIDN",40
"DJ Moore","Moore","DJ",2
"DJ XES","XES","DJ",5
"DJ ing","ing","DJ",4
"DJ s","s","DJ",29
"DM and","and","DM",8
"DM d","d","DM",10
"DM me","me","DM",233
"DM us","us","DM",72
"DM you","you","DM",87
"DO NOT","NOT","DO",97
"DO We","We","DO",2
"DO care","care","DO",3
"DON T","T","DON",188
"DP cut","cut","DP",3
"DR The","The","DR",18
"DS and","and","DS",6
"DT I","I","DT",3
"DT project","project","DT",5
"DT s","s","DT",4
"DT to","to","DT",5
"DVD and","and","DVD",29
"DVD but","but","DVD",2
"DVDs The","The","DVDs",2
"DVI The","The","DVI",2
"Da Capo","Capo","Da",4
"Da war","war","Da",2
"Dad If","If","Dad",3
"Dad Mom","Mom","Dad",3
"Dad he","he","Dad",2
"Dad how","how","Dad",4
"Dad is","is","Dad",27
"Dad s","s","Dad",47
"Dad still","still","Dad",2
"Dad you","you","Dad",2
"Daddy and","and","Daddy",13
"Daddy don","don","Daddy",2
"Daegu South","South","Daegu",4
"Daemon Black","Black","Daemon",2
"Daily News","News","Daily",81
"Daily Press","Press","Daily",5
"Daily Star","Star","Daily",6
"Dakota and","and","Dakota",18
"Daley said","said","Daley",9
"Dallas TX","TX","Dallas",19
"Dallas was","was","Dallas",9
"Dam on","on","Dam",3
"Dame and","and","Dame",20
"Dammit The","The","Dammit",3
"Damn I","I","Damn",99
"Damn it","it","Damn",56
"Damn lunch","lunch","Damn",2
"Damn that","that","Damn",27
"Damon said","said","Damon",4
"Dan Patrick","Patrick","Dan",9
"Dan Richard","Richard","Dan",2
"Dan Rodricks","Rodricks","Dan",6
"Dana Wolfe","Wolfe","Dana",2
"Dance I","I","Dance",4
"Dance What","What","Dance",6
"Dance dance","dance","Dance",4
"Danceclub Lotus","Lotus","Danceclub",2
"Dancing Queen","Queen","Dancing",3
"Dancing With","With","Dancing",35
"Daniel E","E","Daniel",2
"Daniela Hantuchova","Hantuchova","Daniela",2
"Danielle s","s","Danielle",10
"Danny Kaye","Kaye","Danny",3
"Danny and","and","Danny",13
"Daphnis and","and","Daphnis",3
"Darius Miller","Miller","Darius",4
"Dark Shadows","Shadows","Dark",47
"Dark Side","Side","Dark",19
"Dark Star","Star","Dark",7
"Dart and","and","Dart",2
"Daryl Turner","Turner","Daryl",5
"Daryl Washington","Washington","Daryl",2
"Das Kapital","Kapital","Das",3
"Dat s","s","Dat",2
"Data and","and","Data",2
"Date Night","Night","Date",7
"Dating back","back","Dating",2
"Dave Anderson","Anderson","Dave",2
"Dave D","D","Dave",4
"Dave Fried","Fried","Dave",4
"Dave you","you","Dave",3
"David Allen","Allen","David",4
"David Bernstein","Bernstein","David",2
"David Bonenberger","Bonenberger","David",2
"David Cameron","Cameron","David",34
"David Castelveter","Castelveter","David",3
"David Freese","Freese","David",38
"David Lee","Lee","David",15
"David Letterman","Letterman","David",24
"David M","M","David",8
"David Miller","Miller","David",3
"David Satterfield","Satterfield","David",3
"David Simmons","Simmons","David",3
"David Simon","Simon","David",3
"David Stern","Stern","David",30
"David Wu","Wu","David",10
"David and","and","David",60
"David on","on","David",5
"David the","the","David",8
"David there","there","David",2
"Davis said","said","Davis",67
"Davis seems","seems","Davis",2
"Davis who","who","Davis",33
"Davy Jones","Jones","Davy",33
"Dawkins and","and","Dawkins",3
"Day Don","Don","Day",9
"Day Ever","Ever","Day",8
"Day Facebook","Facebook","Day",2
"Day Hey","Hey","Day",3
"Day How","How","Day",19
"Day I","I","Day",213
"Day If","If","Day",25
"Day In","In","Day",25
"Day Two","Two","Day",9
"Day What","What","Day",26
"Day and","and","Day",142
"Day at","at","Day",66
"Day by","by","Day",25
"Day everybody","everybody","Day",4
"Day if","if","Day",9
"Day in","in","Day",94
"Day just","just","Day",10
"Day of","of","Day",247
"Day on","on","Day",50
"Day parade","parade","Day",20
"Day special","special","Day",5
"Day started","started","Day",2
"Day time","time","Day",3
"Day to","to","Day",282
"Day weekend","weekend","Day",86
"Days Later","Later","Days",7
"Days for","for","Days",3
"Days of","of","Days",60
"Dayton and","and","Dayton",18
"Dayton has","has","Dayton",6
"Dayton s","s","Dayton",18
"De La","La","De",43
"De Sade","Sade","De",3
"DeVito says","says","DeVito",2
"DeWine has","has","DeWine",2
"Dead And","And","Dead",5
"Dead Man","Man","Dead",5
"Dead and","and","Dead",15
"Dead was","was","Dead",4
"Deadly Night","Night","Deadly",3
"Dealer Reporter","Reporter","Dealer",9
"Dealing with","with","Dealing",20
"Dean and","and","Dean",10
"Dean said","said","Dean",6
"Dear I","I","Dear",28
"Dear Lakers","Lakers","Dear",2
"Dear Lord","Lord","Dear",16
"Death Cab","Cab","Death",12
"Death Online","Online","Death",2
"Death The","The","Death",2
"Debbie Nichols","Nichols","Debbie",2
"Deborah is","is","Deborah",2
"Debra Granik","Granik","Debra",3
"Dec KANSAS","KANSAS","Dec",2
"Dec The","The","Dec",38
"Dec at","at","Dec",47
"December After","After","December",4
"December New","New","December",2
"December The","The","December",39
"December is","is","December",16
"December issue","issue","December",8
"December six","six","December",2
"December th","th","December",65
"December this","this","December",2
"Decided to","to","Decided",26
"Decisions decisions","decisions","Decisions",20
"Decorating Day","Day","Decorating",2
"Dee and","and","Dee",7
"Deep Creek","Creek","Deep",3
"Deep River","River","Deep",2
"Deep at","at","Deep",2
"Definitely in","in","Definitely",5
"Definitely not","not","Definitely",35
"Definitely one","one","Definitely",9
"Definitely will","will","Definitely",5
"Definition of","of","Definition",12
"Del Mar","Mar","Del",31
"Del McCoury","McCoury","Del",3
"Del Rey","Rey","Del",10
"Delaware River","River","Delaware",36
"Delhi Charter","Charter","Delhi",2
"Delicious I","I","Delicious",8
"Deliver Us","Us","Deliver",3
"Delmar Boulevard","Boulevard","Delmar",8
"Delmon Young","Young","Delmon",15
"Delta and","and","Delta",6
"Demi Lovato","Lovato","Demi",26
"Demi and","and","Demi",3
"Democrat I","I","Democrat",4
"Democrat and","and","Democrat",26
"Democrat from","from","Democrat",32
"Democratic Sen","Sen","Democratic",11
"Democratic Senatorial","Senatorial","Democratic",5
"Democratic caucus","caucus","Democratic",3
"Democratic column","column","Democratic",2
"Democratic congressional","congressional","Democratic",4
"Democratic state","state","Democratic",10
"Democratic stronghold","stronghold","Democratic",2
"Democrats and","and","Democrats",85
"Democrats are","are","Democrats",52
"Democrats but","but","Democrats",6
"Democrats have","have","Democrats",53
"Democrats in","in","Democrats",59
"Democrats running","running","Democrats",5
"Democrats win","win","Democrats",2
"Denise Metzger","Metzger","Denise",2
"Denny s","s","Denny",28
"Dental Floss","Floss","Dental",3
"Denver City","City","Denver",4
"Denver Co","Co","Denver",3
"Denver Colorado","Colorado","Denver",12
"Denver Film","Film","Denver",2
"Denver for","for","Denver",18
"Denver instead","instead","Denver",2
"Denver s","s","Denver",59
"Denver the","the","Denver",5
"Denver to","to","Denver",18
"Denver today","today","Denver",2
"Department We","We","Department",5
"Department agreed","agreed","Department",3
"Department by","by","Department",5
"Department confirmed","confirmed","Department",3
"Department has","has","Department",30
"Department of","of","Department",1054
"Department said","said","Department",80
"Department through","through","Department",3
"Department to","to","Department",31
"Department would","would","Department",5
"Depression and","and","Depression",6
"Deputy Joan","Joan","Deputy",5
"Deputy Richard","Richard","Deputy",2
"Derby this","this","Derby",3
"Derek Hough","Hough","Derek",6
"Derek Jeter","Jeter","Derek",34
"Derrick Kuzak","Kuzak","Derrick",2
"Derwent have","have","Derwent",2
"Desert Storm","Storm","Desert",4
"Design Studio","Studio","Design",6
"Design The","The","Design",5
"Design and","and","Design",25
"Despite being","being","Despite",28
"Despite some","some","Despite",11
"Despite the","the","Despite",276
"Despite this","this","Despite",23
"Destined to","to","Destined",3
"Details coming","coming","Details",16
"Details on","on","Details",19
"Details soon","soon","Details",9
"Detective Jeffrey","Jeffrey","Detective",2
"Detectives are","are","Detectives",7
"Detroit Its","Its","Detroit",3
"Detroit MI","MI","Detroit",5
"Detroit Metro","Metro","Detroit",4
"Detroit News","News","Detroit",6
"Detroit The","The","Detroit",18
"Detroit and","and","Detroit",60
"Detroit in","in","Detroit",21
"Detroit is","is","Detroit",28
"Detroit s","s","Detroit",80
"Detroit the","the","Detroit",8
"Detroitbased National","National","Detroitbased",2
"Development for","for","Development",4
"Development of","of","Development",6
"Devils are","are","Devils",6
"Devils first","first","Devils",2
"Devils went","went","Devils",2
"Devonshire cream","cream","Devonshire",2
"Dexter Fowler","Fowler","Dexter",8
"Dexter along","along","Dexter",2
"DiCaprio has","has","DiCaprio",2
"Diabetic exchanges","exchanges","Diabetic",5
"Diamond of","of","Diamond",4
"Diamonds are","are","Diamonds",5
"Diane Sawyer","Sawyer","Diane",9
"Diaz and","and","Diaz",7
"Dick Cheney","Cheney","Dick",31
"Dick Clark","Clark","Dick",88
"Dick Jauron","Jauron","Dick",2
"Dick and","and","Dick",11
"Did I","I","Did",296
"Did anyone","anyone","Did",50
"Did the","the","Did",89
"Did you","you","Did",1157
"Didn t","t","Didn",375
"Die is","is","Die",3
"Diego California","California","Diego",6
"Diego County","County","Diego",62
"Diego Food","Food","Diego",2
"Diego Gas","Gas","Diego",7
"Diego High","High","Diego",3
"Diego I","I","Diego",19
"Diego Superior","Superior","Diego",3
"Diego Zoo","Zoo","Diego",5
"Diego and","and","Diego",44
"Diego in","in","Diego",15
"Different I","I","Different",2
"Difficult to","to","Difficult",5
"Digital Stamps","Stamps","Digital",5
"Digital This","This","Digital",2
"Digital signage","signage","Digital",2
"Dimora and","and","Dimora",57
"Dimora s","s","Dimora",72
"Dinah Shore","Shore","Dinah",3
"Diner on","on","Diner",4
"Dinner pm","pm","Dinner",18
"Dion Guthrie","Guthrie","Dion",3
"Dior has","has","Dior",2
"Dior in","in","Dior",2
"Directioners who","who","Directioners",2
"Director Frank","Frank","Director",5
"Director Garry","Garry","Director",3
"Director of","of","Director",116
"Directors of","of","Directors",8
"Disclaimer The","The","Disclaimer",2
"Discover Great","Great","Discover",2
"Discussing the","the","Discussing",7
"Disease Control","Control","Disease",52
"Disney Studios","Studios","Disney",6
"Disney World","World","Disney",69
"Disney and","and","Disney",6
"Disney s","s","Disney",52
"Disney with","with","Disney",3
"Disorderly conduct","conduct","Disorderly",4
"Distinguished School","School","Distinguished",5
"Distress inks","inks","Distress",3
"District Attorney","Attorney","District",100
"District Judge","Judge","District",92
"District is","is","District",23
"District of","of","District",139
"District officials","officials","District",21
"District s","s","District",24
"District that","that","District",7
"District would","would","District",3
