"ngram_full","ngram_tail","ngram_head","freq"
"Unlike the recent","recent","Unlike the",2
"Until I see","see","Until I",2
"Until fairly recently","recently","Until fairly",3
"Until we know","know","Until we",4
"Up Celebrity Crush","Crush","Up Celebrity",4
"Up With The","The","Up With",2
"Up to this","this","Up to",10
"Ur Beautiful And","And","Ur Beautiful",2
"Ur gonna get","get","Ur gonna",2
"Urban Studio Cafe","Cafe","Urban Studio",2
"Use It Tuesday","Tuesday","Use It",2
"Use it to","to","Use it",3
"Using the back","back","Using the",2
"VIDEOS on YouTube","YouTube","VIDEOS on",9
"VIP seats to","to","VIP seats",2
"Va Kyle Busch","Busch","Va Kyle",2
"Valentine s Day","Day","Valentine s",220
"Valentines Day I","I","Valentines Day",5
"Valverde right now","now","Valverde right",2
"Van Gogh but","but","Van Gogh",2
"Van Halen concert","concert","Van Halen",3
"Vegas in a","a","Vegas in",2
"Vegas this weekend","weekend","Vegas this",8
"Very excited to","to","Very excited",21
"Very little is","is","Very little",3
"Very proud of","of","Very proud",12
"Veteran s Day","Day","Veteran s",15
"Veterans attorney Helen","Helen","Veterans attorney",2
"Vice President John","John","Vice President",2
"Video of the","the","Video of",4
"View from the","the","View from",5
"View full sizeCourtesy","sizeCourtesy","View full",2
"Vikings GM Rick","Rick","Vikings GM",2
"Village next to","to","Village next",2
"Vintage Base Ball","Ball","Vintage Base",2
"Violin Concerto This","This","Violin Concerto",2
"Visit your library","library","Visit your",2
"Voice for a","a","Voice for",2
"Vol player who","who","Vol player",2
"Volt LithiumIon Cordless","Cordless","Volt LithiumIon",2
"Vote in the","the","Vote in",3
"W Washington St","St","W Washington",2
"WANT TO BE","BE","WANT TO",8
"WAS I THINKING","THINKING","WAS I",2
"WASHINGTON The Supreme","Supreme","WASHINGTON The",5
"WE HAVE THE","THE","WE HAVE",3
"WHAT I AM","AM","WHAT I",2
"WHO THE FUCK","FUCK","WHO THE",4
"WHY WHY WHY","WHY","WHY WHY",8
"WILL follow me","me","WILL follow",2
"WOULD MEAN SO","SO","WOULD MEAN",8
"WR Jacoby Jones","Jones","WR Jacoby",2
"Wait You re","re","Wait You",2
"Wait what happened","happened","Wait what",2
"WalMart Stores Inc","Inc","WalMart Stores",11
"Walking Day If","If","Walking Day",2
"Wall Street Journal","Journal","Wall Street",92
"Wall Street w","w","Wall Street",2
"Wallace said he","he","Wallace said",5
"Walt Disney Studios","Studios","Walt Disney",4
"Want To Be","Be","Want To",6
"Want me to","to","Want me",13
"Want to learn","learn","Want to",10
"Want to take","take","Want to",4
"Warren Buffett s","s","Warren Buffett",8
"Warren County Public","Public","Warren County",2
"Wars is on","on","Wars is",2
"Was it good","good","Was it",3
"Was it the","the","Was it",12
"Was out of","of","Was out",2
"Was so busy","busy","Was so",2
"Was told to","to","Was told",2
"Washington County Fair","Fair","Washington County",4
"Washington DC are","are","Washington DC",2
"Washington DC for","for","Washington DC",21
"Washington LV Blvd","Blvd","Washington LV",2
"Washington Post He","He","Washington Post",3
"Washington Post in","in","Washington Post",2
"Washington and I","I","Washington and",2
"Washington and UCLA","UCLA","Washington and",3
"Washington to a","a","Washington to",2
"Washington where he","he","Washington where",8
"Wasn t sure","sure","Wasn t",5
"Watch out for","for","Watch out",42
"Watch out that","that","Watch out",2
"Watch the news","news","Watch the",5
"Watch the video","video","Watch the",9
"Watching it now","now","Watching it",4
"Watching the Lakers","Lakers","Watching the",2
"Watching the last","last","Watching the",3
"Water Pollution Control","Control","Water Pollution",5
"Waters in the","the","Waters in",2
"Way You Are","Are","Way You",6
"Way You Lie","Lie","Way You",3
"Way to go","go","Way to",135
"Way too many","many","Way too",11
"Wayne County Commission","Commission","Wayne County",2
"We Can Do","Do","We Can",2
"We Need to","to","We Need",7
"We all know","know","We all",94
"We all must","must","We all",3
"We also made","made","We also",5
"We appreciate all","all","We appreciate",8
"We appreciate your","your","We appreciate",28
"We are both","both","We are",14
"We are calling","calling","We are",2
"We are currently","currently","We are",22
"We are enjoying","enjoying","We are",5
"We are going","going","We are",76
"We are in","in","We are",77
"We are looking","looking","We are",82
"We are lucky","lucky","We are",8
"We are more","more","We are",6
"We are open","open","We are",33
"We are packed","packed","We are",2
"We are quick","quick","We are",2
"We are running","running","We are",11
"We are seeing","seeing","We are",13
"We are so","so","We are",132
"We are still","still","We are",54
"We are trying","trying","We are",24
"We arrived in","in","We arrived",7
"We call it","it","We call",17
"We can all","all","We can",14
"We can call","call","We can",3
"We can forgive","forgive","We can",2
"We can go","go","We can",11
"We can help","help","We can",32
"We can make","make","We can",24
"We can never","never","We can",6
"We can probably","probably","We can",3
"We can t","t","We can",252
"We cannot allow","allow","We cannot",3
"We could have","have","We could",23
"We couldn t","t","We couldn",54
"We d like","like","We d",32
"We d love","love","We d",101
"We did this","this","We did",7
"We didn t","t","We didn",174
"We do not","not","We do",101
"We don t","t","We don",442
"We ended up","up","We ended",32
"We enjoyed our","our","We enjoyed",4
"We extend our","our","We extend",2
"We figured if","if","We figured",2
"We forgot to","to","We forgot",4
"We fought for","for","We fought",4
"We found that","that","We found",4
"We go in","in","We go",3
"We got off","off","We got",3
"We got some","some","We got",15
"We got to","to","We got",35
"We got you","you","We got",3
"We had a","a","We had",324
"We had had","had","We had",3
"We had lots","lots","We had",9
"We had made","made","We had",2
"We had one","one","We had",9
"We had taken","taken","We had",2
"We had to","to","We had",69
"We hadn t","t","We hadn",10
"We have a","a","We have",444
"We have an","an","We have",47
"We have been","been","We have",128
"We have done","done","We have",10
"We have had","had","We have",36
"We have it","it","We have",6
"We have laws","laws","We have",2
"We have lived","lived","We have",2
"We have some","some","We have",73
"We have spent","spent","We have",5
"We have to","to","We have",262
"We have two","two","We have",19
"We haven t","t","We haven",93
"We hope this","this","We hope",8
"We hope to","to","We hope",56
"We hope you","you","We hope",135
"We just announced","announced","We just",2
"We just joined","joined","We just",2
"We just need","need","We just",29
"We just want","want","We just",18
"We keep telling","telling","We keep",3
"We kept in","in","We kept",2
"We know a","a","We know",8
"We know the","the","We know",14
"We know what","what","We know",26
"We know you","you","We know",13
"We learned from","from","We learned",3
"We like our","our","We like",2
"We like to","to","We like",41
"We ll b","b","We ll",2
"We ll be","be","We ll",264
"We ll eat","eat","We ll",3
"We ll get","get","We ll",44
"We ll hear","hear","We ll",3
"We ll make","make","We ll",17
"We ll meet","meet","We ll",2
"We ll miss","miss","We ll",26
"We ll see","see","We ll",168
"We look forward","forward","We look",98
"We looked into","into","We looked",4
"We love baseball","baseball","We love",2
"We love it","it","We love",18
"We love the","the","We love",31
"We love you","you","We love",98
"We love your","your","We love",16
"We lucked out","out","We lucked",3
"We made a","a","We made",15
"We may be","be","We may",19
"We may have","have","We may",21
"We met in","in","We met",5
"We might need","need","We might",5
"We moved the","the","We moved",6
"We must always","always","We must",7
"We must continue","continue","We must",3
"We must take","take","We must",8
"We need a","a","We need",68
"We need another","another","We need",3
"We need three","three","We need",2
"We need to","to","We need",429
"We need you","you","We need",21
"We need your","your","We need",12
"We never know","know","We never",6
"We often forget","forget","We often",2
"We open at","at","We open",11
"We play to","to","We play",2
"We prefer the","the","We prefer",3
"We re about","about","We re",19
"We re actually","actually","We re",7
"We re building","building","We re",6
"We re cheering","cheering","We re",2
"We re definitely","definitely","We re",9
"We re doing","doing","We re",35
"We re excited","excited","We re",81
"We re getting","getting","We re",43
"We re glad","glad","We re",30
"We re going","going","We re",202
"We re half","half","We re",2
"We re in","in","We re",91
"We re looking","looking","We re",96
"We re not","not","We re",205
"We re off","off","We re",11
"We re open","open","We re",42
"We re passing","passing","We re",2
"We re putting","putting","We re",7
"We re sorry","sorry","We re",14
"We re still","still","We re",79
"We re taking","taking","We re",21
"We re the","the","We re",30
"We re thinking","thinking","We re",11
"We re writing","writing","We re",3
"We really appreciate","appreciate","We really",32
"We sat down","down","We sat",8
"We see her","her","We see",2
"We see the","the","We see",13
"We share the","the","We share",7
"We should all","all","We should",21
"We should meet","meet","We should",4
"We spend a","a","We spend",9
"We spend so","so","We spend",3
"We spent less","less","We spent",2
"We started with","with","We started",12
"We stayed for","for","We stayed",5
"We stopped at","at","We stopped",9
"We stopped by","by","We stopped",4
"We talked about","about","We talked",59
"We think of","of","We think",8
"We think you","you","We think",7
"We threw a","a","We threw",3
"We took the","the","We took",19
"We tried to","to","We tried",27
"We used the","the","We used",5
"We used to","to","We used",41
"We usually go","go","We usually",2
"We ve also","also","We ve",16
"We ve always","always","We ve",9
"We ve been","been","We ve",186
"We ve come","come","We ve",13
"We ve got","got","We ve",288
"We ve lost","lost","We ve",6
"We ve watched","watched","We ve",3
"We walked on","on","We walked",2
"We walked out","out","We walked",3
"We want to","to","We want",233
"We wanted to","to","We wanted",66
"We went back","back","We went",10
"We went in","in","We went",5
"We went into","into","We went",9
"We went to","to","We went",95
"We went with","with","We went",6
"We were fortunate","fortunate","We were",7
"We were holding","holding","We were",2
"We were in","in","We were",44
"We were not","not","We were",15
"We will be","be","We will",239
"We will continue","continue","We will",24
"We will deliver","deliver","We will",2
"We will look","look","We will",4
"We will we","we","We will",3
"We wish you","you","We wish",17
"We would like","like","We would",56
"We would love","love","We would",72
"We wouldn t","t","We wouldn",12
"Weather F A","A","Weather F",3
"Weather Service office","office","Weather Service",3
"Wed at am","am","Wed at",3
"Wednesday It s","s","Wednesday It",15
"Wednesday Thursday Friday","Friday","Wednesday Thursday",3
"Wednesday and Friday","Friday","Wednesday and",8
"Wednesday night during","during","Wednesday night",2
"Wednesday on charges","charges","Wednesday on",3
"Wednesday on the","the","Wednesday on",13
"Wednesday s hearing","hearing","Wednesday s",4
"Week an annual","annual","Week an",2
"Week is the","the","Week is",4
"Weird thing to","to","Weird thing",2
"Welcome all new","new","Welcome all",3
"Welcome back RT","RT","Welcome back",4
"Welcome new followers","followers","Welcome new",19
"Welcome to Twitter","Twitter","Welcome to",49
"Welcome to my","my","Welcome to",31
"Welcome to our","our","Welcome to",28
"Welcome to the","the","Welcome to",202
"Weldon Spring has","has","Weldon Spring",2
"Well City Milwaukee","Milwaukee","Well City",3
"Well I do","do","Well I",11
"Well I have","have","Well I",31
"Well I mean","mean","Well I",5
"Well I must","must","Well I",4
"Well I still","still","Well I",4
"Well I suppose","suppose","Well I",10
"Well I think","think","Well I",24
"Well as I","I","Well as",4
"Well don t","t","Well don",5
"Well guess what","what","Well guess",16
"Well he says","says","Well he",3
"Well if the","the","Well if",6
"Well if you","you","Well if",33
"Well in the","the","Well in",6
"Well it is","is","Well it",18
"Well its not","not","Well its",7
"Well look at","at","Well look",7
"Well look who","who","Well look",2
"Well my mom","mom","Well my",3
"Well sort of","of","Well sort",5
"Well there were","were","Well there",5
"Well they are","are","Well they",7
"Well when it","it","Well when",3
"Wells and the","the","Wells and",4
"Went out with","with","Went out",2
"Went to the","the","Went to",34
"Were almost at","at","Were almost",2
"West Hollywood The","The","West Hollywood",2
"Western Reserve University","University","Western Reserve",32
"Weve got a","a","Weve got",8
"What Do You","You","What Do",8
"What I discovered","discovered","What I",2
"What I have","have","What I",23
"What I tried","tried","What I",2
"What I want","want","What I",21
"What Inspired You","You","What Inspired",6
"What a beautiful","beautiful","What a",78
"What a book","book","What a",3
"What a crazy","crazy","What a",13
"What a day","day","What a",25
"What a fabulous","fabulous","What a",9
"What a fun","fun","What a",22
"What a gorgeous","gorgeous","What a",11
"What a great","great","What a",197
"What a guy","guy","What a",3
"What a huge","huge","What a",3
"What a mess","mess","What a",7
"What a piece","piece","What a",2
"What a punk","punk","What a",2
"What about when","when","What about",4
"What are some","some","What are",49
"What are the","the","What are",130
"What are they","they","What are",25
"What are ya","ya","What are",2
"What are you","you","What are",395
"What are your","your","What are",187
"What better day","day","What better",2
"What can they","they","What can",2
"What could be","be","What could",30
"What did I","I","What did",27
"What do u","u","What do",25
"What do you","you","What do",656
"What do your","your","What do",6
"What does all","all","What does",4
"What energy are","are","What energy",2
"What genre are","are","What genre",3
"What happened The","The","What happened",3
"What happened when","when","What happened",4
"What have you","you","What have",46
"What he said","said","What he",8
"What if he","he","What if",11
"What if you","you","What if",35
"What is going","going","What is",36
"What is it","it","What is",105
"What is really","really","What is",5
"What is the","the","What is",242
"What is this","this","What is",45
"What is ur","ur","What is",3
"What is your","your","What is",213
"What kind of","of","What kind",158
"What made them","them","What made",2
"What more could","could","What more",18
"What r u","u","What r",11
"What s My","My","What s",3
"What s his","his","What s",4
"What s it","it","What s",26
"What s the","the","What s",343
"What s this","this","What s",25
"What s up","up","What s",185
"What s ur","ur","What s",14
"What s worse","worse","What s",11
"What s wrong","wrong","What s",46
"What the team","team","What the",2
"What they do","do","What they",12
"What they re","re","What they",3
"What this could","could","What this",2
"What time is","is","What time",30
"What to Do","Do","What to",3
"What to do","do","What to",57
"What was so","so","What was",2
"What was that","that","What was",23
"What was your","your","What was",54
"What we really","really","What we",4
"What will be","be","What will",16
"What will happen","happen","What will",15
"What would you","you","What would",104
"What you have","have","What you",3
"What you want","want","What you",6
"Whats for Lunch","Lunch","Whats for",2
"Whats good for","for","Whats good",2
"Whats the most","most","Whats the",2
"When Gallagher and","and","When Gallagher",2
"When I came","came","When I",36
"When I can","can","When I",11
"When I drive","drive","When I",2
"When I first","first","When I",100
"When I got","got","When I",79
"When I have","have","When I",29
"When I make","make","When I",7
"When I meet","meet","When I",5
"When I moved","moved","When I",9
"When I pulled","pulled","When I",5
"When I returned","returned","When I",6
"When I sat","sat","When I",2
"When I saw","saw","When I",50
"When I say","say","When I",24
"When I spoke","spoke","When I",6
"When I tried","tried","When I",7
"When I was","was","When I",314
"When I watch","watch","When I",8
"When You Grow","Grow","When You",4
"When an artist","artist","When an",3
"When are we","we","When are",15
"When asked why","why","When asked",12
"When buying a","a","When buying",3
"When he has","has","When he",6
"When i move","move","When i",3
"When is the","the","When is",28
"When it came","came","When it",22
"When it opened","opened","When it",4
"When it was","was","When it",32
"When its all","all","When its",3
"When my boyfriend","boyfriend","When my",3
"When my oldest","oldest","When my",3
"When my son","son","When my",6
"When people just","just","When people",2
"When pm Sunday","Sunday","When pm",8
"When ready to","to","When ready",8
"When the First","First","When the",3
"When the mission","mission","When the",3
"When the officer","officer","When the",4
"When the other","other","When the",3
"When the time","time","When the",9
"When the waiter","waiter","When the",2
"When there is","is","When there",10
"When they are","are","When they",18
"When u are","are","When u",2
"When was it","it","When was",3
"When was the","the","When was",33
"When we brought","brought","When we",2
"When we take","take","When we",5
"When you add","add","When you",5
"When you are","are","When you",80
"When you do","do","When you",26
"When you don","don","When you",13
"When you embrace","embrace","When you",2
"When you give","give","When you",7
"When you have","have","When you",58
"When you learn","learn","When you",3
"When you love","love","When you",11
"When you re","re","When you",135
"When you write","write","When you",2
"When your bestfriend","bestfriend","When your",3
"Whenever I hear","hear","Whenever I",10
"Where are all","all","Where are",19
"Where are their","their","Where are",2
"Where are we","we","Where are",10
"Where are you","you","Where are",141
"Where can I","I","Where can",42
"Where everybody knows","knows","Where everybody",2
"Where is my","my","Where is",29
"Where oh where","where","Where oh",2
"Where s my","my","Where s",24
"Where the is","is","Where the",15
"Where you at","at","Where you",23
"Whether it was","was","Whether it",16
"Whether or not","not","Whether or",39
"Which brings me","me","Which brings",20
"Which is a","a","Which is",21
"Which is exactly","exactly","Which is",9
"Which is one","one","Which is",2
"While Ive been","been","While Ive",2
"While browsing through","through","While browsing",2
"While he was","was","While he",20
"While it was","was","While it",7
"While she never","never","While she",2
"While the first","first","While the",5
"While the kids","kids","While the",3
"While there is","is","While there",10
"While we were","were","While we",35
"While working at","at","While working",4
"White House Correspondents","Correspondents","White House",12
"White s Off","Off","White s",3
"Who are you","you","Who are",55
"Who can I","I","Who can",5
"Who doesnt love","love","Who doesnt",4
"Who else is","is","Who else",43
"Who has ever","ever","Who has",4
"Who is coming","coming","Who is",10
"Who is going","going","Who is",41
"Who is this","this","Who is",29
"Who s going","going","Who s",66
"Who s in","in","Who s",28
"Who taught you","you","Who taught",2
"Who wants it","it","Who wants",3
"Who wants to","to","Who wants",142
"Who was the","the","Who was",20
"Who will be","be","Who will",35
"Who would I","I","Who would",2
"Who wouldnt want","want","Who wouldnt",2
"Who ya got","got","Who ya",3
"Whos going to","to","Whos going",6
"Why am I","I","Why am",146
"Why are there","there","Why are",20
"Why are we","we","Why are",41
"Why are you","you","Why are",106
"Why are your","your","Why are",5
"Why did the","the","Why did",28
"Why did they","they","Why did",10
"Why didn t","t","Why didn",58
"Why didnt I","I","Why didnt",6
"Why do people","people","Why do",78
"Why do we","we","Why do",51
"Why does it","it","Why does",37
"Why is America","America","Why is",2
"Why is everyone","everyone","Why is",17
"Why is it","it","Why is",156
"Why is my","my","Why is",19
"Why is the","the","Why is",45
"Why is there","there","Why is",18
"Why isn t","t","Why isn",31
"Why not have","have","Why not",8
"Why not let","let","Why not",5
"Why not use","use","Why not",4
"Why oh why","why","Why oh",15
"Why should they","they","Why should",5
"Why should you","you","Why should",5
"Why was the","the","Why was",5
"Why were they","they","Why were",2
"Why would it","it","Why would",5
"Wife of Bath","Bath","Wife of",2
"Wild Orchid Challenge","Challenge","Wild Orchid",2
"Will I ever","ever","Will I",7
"Will have to","to","Will have",29
"Will he ever","ever","Will he",2
"Will there be","be","Will there",25
"Will try to","to","Will try",11
"Will we see","see","Will we",16
"Will you be","be","Will you",81
"Will you ever","ever","Will you",3
"Will you watch","watch","Will you",2
"Willamette Pedestrian Coalition","Coalition","Willamette Pedestrian",3
"William Carlos Williams","Williams","William Carlos",2
"William G Batchelder","Batchelder","William G",12
"Williams has been","been","Williams has",4
"Williams who was","was","Williams who",4
"Wilson a Democrat","Democrat","Wilson a",2
"Windows is Windows","Windows","Windows is",2
"Winner of the","the","Winner of",11
"Winnie the Pooh","Pooh","Winnie the",16
"Winning novel GRAY","GRAY","Winning novel",15
"Winter I ve","ve","Winter I",2
"Winter s Bone","Bone","Winter s",7
"Wisconsin Technical College","College","Wisconsin Technical",2
"Wish I could","could","Wish I",133
"Wish I was","was","Wish I",77
"Wish us luck","luck","Wish us",14
"Wishing you all","all","Wishing you",23
"With The Stars","Stars","With The",13
"With a great","great","With a",3
"With all due","due","With all",6
"With finals starting","starting","With finals",2
"With lots of","of","With lots",2
"With respect to","to","With respect",8
"With the exception","exception","With the",28
"With the game","game","With the",5
"With the good","good","With the",2
"With the help","help","With the",38
"With the knowledge","knowledge","With the",2
"With your support","support","With your",2
"Witnesses said the","the","Witnesses said",5
"Wizard of Oz","Oz","Wizard of",25
"Woke up at","at","Woke up",14
"Wolfe Naimark CEO","CEO","Wolfe Naimark",2
"Women s Expo","Expo","Women s",2
"Women s World","World","Women s",5
"Word for Prayerful","Prayerful","Word for",2
"Work Hard Play","Play","Work Hard",6
"Work If You","You","Work If",6
"Work Work Work","Work","Work Work",29
"Workin on my","my","Workin on",3
"Working on our","our","Working on",5
"Working out like","like","Working out",2
"Workout with me","me","Workout with",2
"Workshop The School","School","Workshop The",2
"World Baseball Classic","Classic","World Baseball",3
"World Book Night","Night","World Book",11
"World Boxing Council","Council","World Boxing",3
"World Cup Final","Final","World Cup",3
"World Cup final","final","World Cup",5
"World Trade Center","Center","World Trade",91
"World Wildlife Fund","Fund","World Wildlife",2
"Would Mean So","So","Would Mean",2
"Would be so","so","Would be",2
"Would you be","be","Would you",42
"Would you care","care","Would you",2
"Would you like","like","Would you",77
"Wouldn t it","it","Wouldn t",30
"Wouldn t miss","miss","Wouldn t",6
"Wouldn t you","you","Wouldn t",19
"Wow I am","am","Wow I",5
"Wow I can","can","Wow I",11
"Wow I feel","feel","Wow I",5
"Wrapping up the","the","Wrapping up",2
"Write them down","down","Write them",2
"Y don t","t","Y don",2
"Y for the","the","Y for",2
"YAY it s","s","YAY it",2
"YES thank you","you","YES thank",3
"YORK Stocks closed","closed","YORK Stocks",2
"YOU MADE ME","ME","YOU MADE",2
"YOU RE NOT","NOT","YOU RE",4
"YOU SHALL NOT","NOT","YOU SHALL",2
"YOU for the","the","YOU for",11
"YOUR BEST FAN","FAN","YOUR BEST",6
"YOUR FIRST OFFICIAL","OFFICIAL","YOUR FIRST",3
"YOUR VIDEOS on","on","YOUR VIDEOS",9
"Yall Go Folloow","Folloow","Yall Go",3
"Yay I m","m","Yay I",22
"Yeah I do","do","Yeah I",7
"Yeah I know","know","Yeah I",26
"Yeah I m","m","Yeah I",80
"Yeah I was","was","Yeah I",12
"Yeah Just finished","finished","Yeah Just",2
"Yeah but I","I","Yeah but",9
"Yeah he is","is","Yeah he",3
"Yeah it s","s","Yeah it",36
"Yeah me too","too","Yeah me",14
"Yeah not so","so","Yeah not",2
"Yeah that was","was","Yeah that",15
"Yeah we threw","threw","Yeah we",2
"Year I ve","ve","Year I",3
"Year of the","the","Year of",21
"Yep I m","m","Yep I",24
"Yep thats it","it","Yep thats",2
"Yes Do I","I","Yes Do",5
"Yes I am","am","Yes I",71
"Yes I can","can","Yes I",24
"Yes I have","have","Yes I",46
"Yes I m","m","Yes I",76
"Yes I said","said","Yes I",8
"Yes I was","was","Yes I",33
"Yes It s","s","Yes It",14
"Yes You can","can","Yes You",3
"Yes and I","I","Yes and",10
"Yes and No","No","Yes and",3
"Yes and what","what","Yes and",2
"Yes he said","said","Yes he",6
"Yes in days","days","Yes in",2
"Yes it is","is","Yes it",84
"Yes it s","s","Yes it",54
"Yes it was","was","Yes it",23
"Yes let s","s","Yes let",7
"Yes please I","I","Yes please",6
"Yes that s","s","Yes that",30
"Yes there are","are","Yes there",28
"Yes they re","re","Yes they",5
"Yes we have","have","Yes we",12
"Yes we will","will","Yes we",5
"Yes you can","can","Yes you",26
"Yesterday I saw","saw","Yesterday I",3
"Yet I am","am","Yet I",3
"Yet I still","still","Yet I",5
"Yet as I","I","Yet as",3
"Yet even while","while","Yet even",2
"Yet it is","is","Yet it",17
"Yet no one","one","Yet no",5
"Yet that is","is","Yet that",5
"York City subway","subway","York City",3
"York Daily News","News","York Daily",18
"York Fashion Week","Week","York Fashion",9
"York Jets in","in","York Jets",3
"York on Wednesday","Wednesday","York on",2
"York said I","I","York said",2
"York said the","the","York said",6
"York to San","San","York to",2
"You Can Get","Get","You Can",10
"You Followed Me","Me","You Followed",2
"You Grow Up","Up","You Grow",4
"You Haven t","t","You Haven",2
"You I can","can","You I",6
"You I ve","ve","You I",4
"You Me At","At","You Me",2
"You Now that","that","You Now",2
"You So I","I","You So",2
"You So Much","Much","You So",6
"You To Dance","Dance","You To",4
"You Want To","To","You Want",10
"You ain t","t","You ain",30
"You all have","have","You all",5
"You almost have","have","You almost",3
"You already have","have","You already",4
"You also get","get","You also",7
"You always have","have","You always",10
"You are You","You","You are",2
"You are a","a","You are",124
"You are beautiful","beautiful","You are",9
"You are better","better","You are",5
"You are constantly","constantly","You are",2
"You are crazy","crazy","You are",3
"You are going","going","You are",36
"You are hilarious","hilarious","You are",5
"You are my","my","You are",53
"You are not","not","You are",76
"You are reading","reading","You are",2
"You are right","right","You are",21
"You are so","so","You are",76
"You are the","the","You are",127
"You aren t","t","You aren",17
"You better have","have","You better",4
"You can already","already","You can",2
"You can also","also","You can",150
"You can always","always","You can",45
"You can ask","ask","You can",3
"You can bake","bake","You can",3
"You can be","be","You can",44
"You can choose","choose","You can",13
"You can create","create","You can",3
"You can do","do","You can",76
"You can either","either","You can",22
"You can find","find","You can",104
"You can get","get","You can",77
"You can improve","improve","You can",7
"You can make","make","You can",48
"You can serve","serve","You can",4
"You can show","show","You can",2
"You can sleep","sleep","You can",2
"You can start","start","You can",14
"You can t","t","You can",491
"You can text","text","You can",3
"You can visit","visit","You can",12
"You cant be","be","You cant",12
"You cant beat","beat","You cant",2
"You cant have","have","You cant",3
"You come into","into","You come",2
"You come to","to","You come",9
"You could do","do","You could",5
"You could live","live","You could",2
"You could say","say","You could",14
"You could tell","tell","You could",5
"You d be","be","You d",25
"You d have","have","You d",17
"You deserve it","it","You deserve",29
"You do not","not","You do",40
"You do the","the","You do",13
"You don t","t","You don",534
"You dont have","have","You dont",49
"You dont know","know","You dont",21
"You dont look","look","You dont",5
"You earned it","it","You earned",4
"You ever get","get","You ever",4
"You for the","the","You for",18
"You go out","out","You go",3
"You go through","through","You go",4
"You got a","a","You got",16
"You got this","this","You got",9
"You gotta go","go","You gotta",5
"You gotta know","know","You gotta",3
"You guys I","I","You guys",6
"You guys are","are","You guys",99
"You guys get","get","You guys",2
"You have any","any","You have",3
"You have no","no","You have",43
"You have not","not","You have",8
"You have such","such","You have",7
"You have the","the","You have",39
"You have to","to","You have",421
"You haven t","t","You haven",24
"You inspire me","me","You inspire",18
"You just try","try","You just",3
"You killed it","it","You killed",5
"You know dudes","dudes","You know",2
"You know is","is","You know",3
"You know it","it","You know",97
"You know that","that","You know",69
"You know the","the","You know",80
"You know this","this","You know",16
"You know you","you","You know",142
"You know your","your","You know",21
"You let me","me","You let",6
"You ll Never","Never","You ll",2
"You ll be","be","You ll",94
"You ll definitely","definitely","You ll",4
"You ll have","have","You ll",51
"You ll know","know","You ll",9
"You ll learn","learn","You ll",5
"You ll love","love","You ll",18
"You ll need","need","You ll",20
"You ll still","still","You ll",4
"You look at","at","You look",28
"You mad bro","bro","You mad",5
"You made it","it","You made",9
"You made my","my","You made",9
"You made the","the","You made",10
"You make it","it","You make",5
"You make me","me","You make",34
"You make the","the","You make",10
"You may have","have","You may",56
"You may need","need","You may",12
"You may remember","remember","You may",11
"You me and","and","You me",5
"You might also","also","You might",13
"You might expect","expect","You might",2
"You might have","have","You might",34
"You might want","want","You might",29
"You must be","be","You must",58
"You need a","a","You need",42
"You need help","help","You need",4
"You need to","to","You need",208
"You never know","know","You never",84
"You picked the","the","You picked",2
"You re a","a","You re",159
"You re dealing","dealing","You re",3
"You re going","going","You re",72
"You re like","like","You re",11
"You re never","never","You re",17
"You re not","not","You re",127
"You re out","out","You re",6
"You re paying","paying","You re",2
"You re still","still","You re",20
"You re the","the","You re",103
"You re very","very","You re",50
"You said I","I","You said",3
"You see them","them","You see",5
"You see we","we","You see",5
"You should also","also","You should",9
"You ve earned","earned","You ve",3
"You ve won","won","You ve",12
"You want it","it","You want",8
"You will always","always","You will",9
"You will have","have","You will",37
"You will learn","learn","You will",8
"You will not","not","You will",31
"YouTube plz follow","follow","YouTube plz",9
"Your clothes are","are","Your clothes",2
"Your gonna need","need","Your gonna",2
"Your legs are","are","Your legs",2
"Your teeth are","are","Your teeth",3
"Yousuf AlQaradhawi which","which","Yousuf AlQaradhawi",3
"Yum I wish","wish","Yum I",2
"Yup I know","know","Yup I",3
"Yup I m","m","Yup I",10
"Yup That s","s","Yup That",3
"Zellers RMaple Grove","Grove","Zellers RMaple",5
"Zimmerman has been","been","Zimmerman has",7
"Zimmerman s father","father","Zimmerman s",4
"a BA degree","degree","a BA",2
"a BLAST in","in","a BLAST",2
"a Bengal tiger","tiger","a Bengal",2
"a Black Friend","Friend","a Black",2
"a Brewers fan","fan","a Brewers",3
"a Burger King","King","a Burger",3
"a C for","for","a C",3
"a COE of","of","a COE",2
"a California Distinguished","Distinguished","a California",2
"a Cardinals uniform","uniform","a Cardinals",2
"a Christmas card","card","a Christmas",13
"a Class A","A","a Class",6
"a Clown among","among","a Clown",2
"a Cornell University","University","a Cornell",3
"a Democrat from","from","a Democrat",25
"a ERA in","in","a ERA",50
"a ERA on","on","a ERA",2
"a European trip","trip","a European",4
"a Facebook page","page","a Facebook",23
"a GREAT weekend","weekend","a GREAT",7
"a Gift Certificate","Certificate","a Gift",4
"a Google Image","Image","a Google",2
"a HOE So","So","a HOE",2
"a Hall of","of","a Hall",21
"a Happy Birthday","Birthday","a Happy",15
"a Higher Power","Power","a Higher",3
"a I ll","ll","a I",4
"a JanPro Sacramento","Sacramento","a JanPro",3
"a LOT I","I","a LOT",2
"a LOT of","of","a LOT",57
"a Long Island","Island","a Long",6
