"ngram_full","freq"
"Mule",18
"Mullen",65
"Mum",123
"Munch",31
"Munchie",3
"Mundy",8
"Munson",10
"Murakami",24
"Murder",86
"Murdersuicide",2
"Murdoch",165
"Murgatroyd",3
"Murillo",2
"Murphy",286
"Murray",305
"Murrell",2
"Murrieta",6
"Muscular",7
"Museum",772
"Mushroom",46
"Music",1098
"Musical",110
"Muslim",450
"Muslims",332
"Must",449
"Mustache",15
"Muster",2
"Muti",5
"My",13996
"MySpace",66
"Myanmar",24
"Mynx",2
"Mystery",82
"Myths",12
"N",975
"NAACP",48
"NAMA",91
"NAME",42
"NARAL",7
"NASA",171
"NASCAR",152
"NASTY",14
"NATO",175
"NBA",1143
"NBC",407
"NBMBAA",4
"NC",352
"NCAA",743
"NCAAs",22
"NCLEX",4
"NCSS",3
"NDCL",4
"NE",168
"NECIRvets",2
"NED",3
"NEJM",2
"NESN",8
"NET",26
"NEVER",346
"NEVERSAYNEVER",22
"NEW",773
"NEWARK",88
"NEXT",126
"NFC",112
"NFL",1444
"NGP",4
"NHL",361
"NICE",78
"NIGGAS",17
"NIGHT",198
"NIGHTMARE",6
"NIT",28
"NJ",453
"NJEA",20
"NJPAC",18
"NJbased",3
"NJcom",19
"NLL",2
"NMC",2
"NO",1026
"NOBODY",26
"NOLA",84
"NOO",7
"NORFOLK",2
"NORTHEAST",4
"NOSE",4
"NOT",1429
"NOTE",96
"NOTHING",106
"NOW",601
"NPA",7
"NPD",17
"NPR",106
"NRC",33
"NSM",2
"NT",26
"NTSC",4
"NV",67
"NVP",2
"NW",224
"NWLC",2
"NWP",2
"NY",1045
"NYC",1028
"NYCpm",2
"NYE",68
"NYFD",2
"NYK",11
"NYR",43
"NYState",2
"NYT",62
"NZ",51
"Na",70
"Naaa",7
"Nabil",4
"Nachos",16
"Nagaya",2
"Nah",147
"Naidoo",3
"Naimark",2
"Najera",4
"Naked",73
"Name",270
"Named",64
"Naomi",58
"Nap",50
"Napa",123
"Napoleon",83
"Narrative",8
"Nashville",455
"Nassau",26
"Natalie",165
"Natchitoches",2
"Nate",278
"Nathan",223
"Nathanson",4
"Nation",210
"National",2665
"Nationally",31
"Nationals",112
"Nationwide",63
"Native",154
"Nativity",12
"Natl",15
"Natural",270
"Nature",299
"Naty",6
"Naughty",23
"Navajo",31
"Navigable",2
"Navy",403
"Nazi",138
"Nazis",81
"Nd",24
"NeXT",3
"Neal",180
"Neall",2
"Neals",5
"Neanderthal",5
"Near",85
"Nearest",3
"Nearly",236
"Neat",28
"NebraskaOmaha",3
"Need",1028
"Needing",10
"Needle",23
"Needless",148
"Negative",42
"Negro",56
"Negroes",11
"Nehalem",4
"Neighbor",27
"Neighborhood",98
"Neihart",3
"Neil",236
"Neither",365
"Nelson",402
"Neptune",36
"Nerf",8
"Neruda",13
"Nerve",9
"Nesbitt",9
"Nest",32
"Net",92
"Netherlands",94
"Netley",7
"Nettles",2
"Network",491
"Networking",57
"Networks",57
"Neuheisel",19
"Neurotic",3
"Neutrokinealpha",3
"Nev",25
"Neva",13
"Nevada",241
"Never",1406
"New",11126
"Newark",782
"Newborn",10
"Newborns",8
"Newell",21
"Newman",119
"NewportMesa",2
"News",1246
"Newsnight",5
"Newsom",49
"Newson",7
"Newswire",2
"Newt",267
"Next",1421
"Nguyen",50
"Nia",20
"Nicci",2
"Nice",1443
"Nicely",40
"Nicholas",182
"Nicholls",16
"Nichols",80
"Nick",734
"Nicki",98
"Nicklaus",23
"Nicky",29
"Nicole",228
"Nido",6
"Niehaus",20
"Nier",2
"Niese",13
"Niggas",78
"Night",1239
"Nights",96
"Nike",337
"Nikkei",24
"Niko",5
"Nikolic",5
"Niles",34
"Nimo",10
"Nine",133
"Niner",4
"Niners",23
"Nintendo",104
"Ninth",63
"Nita",2
"Nix",34
"No",10336
"NoHo",8
"Noah",173
"Nobel",78
"Noble",197
"Nobody",488
"Noel",83
"Noels",7
"Noir",103
"Noise",54
"Nolan",155
"NonProfit",6
"None",386
"Nonfiction",5
"Nonna",7
"Nonprofits",12
"Noodle",28
"Nook",115
"Nope",317
"Nor",191
"Norfolk",68
"Normally",123
"Norman",173
"Norse",33
"North",2517
"Northeast",347
"Northern",380
"Northrop",9
"Northside",15
"Northwest",340
"Northwestern",103
"Norwalk",11
"Norwegians",12
"Nos",18
"Nose",40
"Nossaman",2
"Not",6163
"Notably",17
"Note",490
"Notebook",37
"Nothing",1285
"Notice",126
"Notification",11
"Notorious",16
"Notre",214
"Nourish",3
"Nov",701
"Nova",94
"Novak",57
"Novel",58
"November",1448
"Novosel",3
"Now",6813
"NowPlaying",60
"Nugent",57
"Nugget",19
"Nuggets",248
"Number",199
"Nuno",2
"Nursing",55
"Nussbaumer",2
"Nya",3
"Nyarko",3
"O",2092
"OBA",3
"OBGYN",13
"OBP",15
"OBrien",45
"OC",108
"OCCUPY",11
"OCD",45
"ODBD",19
"OF",1010
"OFF",182
"OFFICIAL",27
"OH",528
"OJ",71
"OK",1243
"OKC",206
"OMG",924
"ON",849
"ONE",474
"ONLY",221
"OP",11
"OPEN",98
"OPTION",6
"OR",304
"OS",86
"OSB",2
"OSM",7
"OSU",266
"OT",182
"OTown",2
"OUR",136
"OUT",423
"OVER",101
"OVERDOSE",3
"OWN",75
"Oak",233
"Oakland",540
"Oakville",40
"Obama",3952
"Obamacare",78
"Obamas",145
"Obedience",12
"Obi",10
"Obviously",408
"Occasionally",59
"Occidental",10
"Occupy",390
"Occupyburque",2
"Ocean",335
"Oceanside",29
"Oct",665
"October",1190
"Oddur",2
"Ode",10
"Odor",7
"Oduro",10
"Odyssey",45
"Of",2989
"Off",740
"Offense",24
"Offer",46
"OffiSync",2
"Office",1011
"Officer",296
"Officers",143
"Official",126
"Officially",103
"Officials",263
"Often",197
"Oh",4896
"Ohio",3239
"Ohlemacher",3
"Oil",255
"Ok",939
"Okay",881
"Oklahoma",471
"Olberman",2
"Olbermann",31
"Old",995
"Ole",43
"Olenick",3
"Oline",16
"Olive",149
"Oliver",256
"Olivia",113
"Olloclip",5
"Olmedo",3
"Olmsted",69
"Olsen",54
"Olympian",27
"Olympic",440
"Olympica",3
"Olympics",311
"Omer",16
"Omfg",38
"Omg",490
"Omni",13
"On",6258
"Once",1703
"One",6610
"OneThingILove",6
"Online",302
"Only",1840
"Ontario",152
"Oops",157
"Oosthuizen",25
"Opa",5
"Open",763
"Opener",19
"Opening",294
"Opera",172
"Operating",55
"Operation",139
"Opinion",42
"Opportunities",37
"Opportunity",58
"Opposition",42
"Oprah",171
"Opry",15
"Or",2901
"Oracle",92
"Orange",775
"Orbi",3
"Orbitz",18
"Orchid",35
"Order",265
"Ordering",21
"Ore",65
"Oregon",2182
"Oregonian",169
"Orentlicher",2
"Oreo",33
"Organic",99
"Organization",127
"Organizations",26
"Organized",31
"Oriental",31
"Original",149
"Originally",82
"Orioles",263
"Orlando",633
"Orleans",544
"Ormand",2
"Ortega",32
"Orthodox",67
"Orwells",9
"Osaka",17
"Osama",180
"Oscar",405
"Oscars",184
"Osteria",8
"Other",1277
"Others",413
"Otherwise",209
"Ottawa",69
"Otten",4
"Otter",24
"Otto",30
"Ouch",124
"Oui",6
"Our",3397
"Out",883
"Outlaw",22
"Outlawz",5
"Outreach",45
"Outside",190
"Outstanding",91
"Outta",12
"Oval",38
"Over",976
"Overall",284
"Overby",3
"Overfelt",4
"Overheard",48
"Overseas",23
"Overview",6
"Ow",17
"Owen",127
"Owens",96
"Owings",16
"Own",131
"Owner",61
"Owney",2
"Oye",6
"Oz",121
"Ozawa",6
"P",1509
"PA",259
"PAC",111
"PACE",9
"PACK",29
"PACs",56
"PAL",12
"PANIC",5
"PAPI",2
"PARTY",145
"PASS",22
"PASTEL",3
"PATH",28
"PATRON",2
"PBS",98
"PC",235
"PCs",50
"PD",78
"PDF",93
"PDT",207
"PDX",90
"PERSON",30
"PERSONNEL",5
"PF",34
"PG",147
"PGE",183
"PHOENIX",15
"PHOTO",12
"PIC",15
"PICK",34
"PISSES",2
"PJ",54
"PLAINS",3
"PLAY",61
"PLAYER",9
"PLEASE",505
"PLENTY",8
"PLUS",36
"PLZ",44
"PM",1015
"PMQs",2
"POC",7
"POEM",2
"POETRY",3
"POLISH",2
"POLL",13
"POPCORN",3
"POPULAR",6
"PORTIONS",2
"PORTLAND",14
"POSSIBLE",12
"POTATO",3
"PP",74
"PPSS",3
"PR",408
"PRADA",2
"PRC",20
"PRESIDENT",16
"PRICES",6
"PRINTS",2
"PRIVACY",4
"PS",415
"PSEG",28
"PSP",17
"PST",71
"PSU",53
"PT",99
"PTSD",59
"PU",21
"PURCHASE",5
"PUSH",9
"PUT",40
"PX",48
"Pa",190
"Pablo",78
"Pac",251
"PacersPlayoffs",2
"PacifiCorp",5
"Pacific",537
"Pacifica",87
"Pacino",18
"Package",37
"Packers",315
"Pad",35
"Paddick",7
"Paddy",63
"Padres",112
"Page",274
"Pageant",30
"Pain",118
"Paine",15
"Pair",29
"Pakistan",323
"Pakistani",95
"Pakistanis",11
"Paladino",5
"Palazzo",11
"Pale",124
"Palenque",2
"Palestinians",82
"Palin",177
"Palisade",19
"Palisades",35
"Palladium",11
"Palmer",170
"Palo",102
"Palos",9
"Paltrow",25
"Pam",119
"Pan",120
"Pancakes",33
"Pane",5
"Panel",66
"Panisse",16
"Panther",38
"Paper",328
"Papertrey",23
"Paradise",165
"Pardus",2
"Parente",4
"Parents",226
"Paretsky",4
"Paris",724
"Parish",41
"Park",2769
"Parker",391
"Parks",245
"Parkway",263
"Parlor",15
"Parma",125
"Parmesan",92
"Parole",13
"Parrino",5
"Parrish",23
"Parsippany",31
"Part",529
"Partial",10
"Partner",42
"Partnering",9
"Partners",150
"Parton",20
"Party",1262
"Partying",16
"Pasadena",69
"Paso",108
"Pass",209
"Passaic",63
"Passed",32
"Passing",49
"Passion",92
"Passive",9
"Passover",83
"Paste",25
"Pastor",131
"Pastrana",5
"Pastry",20
"Pat",449
"Patagonia",17
"Patent",68
"Paterson",85
"Patience",60
"Patients",62
"Patrick",731
"PatriotNews",6
"Patriotic",12
"Patriots",327
"Patrol",140
"Patrolmen",2
"Pats",102
"Patterns",27
"Patton",74
"Patty",149
"Paul",2279
"Paulette",10
"Pauls",62
"Paulsen",14
"Pavilion",86
"Pavlik",7
"Pavlov",8
"PayPal",50
"PayScale",2
"Paying",45
"Payne",193
"Paypal",23
"Pea",56
"Peace",533
"Peaceful",13
"Peach",62
"Peak",99
"Peanut",81
"Pearce",84
"Pearl",239
"Pears",10
"Peavey",4
"Peck",36
"Pedestrian",7
"Pedros",4
"Peer",28
"Peeta",44
"Peg",12
"Peggy",104
"Pen",72
"Pender",4
"Pendleton",40
"Pendragon",5
"Penguin",82
"Penn",408
"Pennsylvania",449
"Penny",136
"Penpals",2
"Pens",92
"Pensacola",24
"Penton",5
"People",2577
"Peoples",67
"Peoria",77
"Pepper",142
"Peppers",54
"Pepsi",96
"Per",155
"Perched",7
"Percussion",13
"Percy",43
"Perfect",447
"Perfectly",25
"PerformanceBased",2
"Performances",29
"Performed",5
"Perhaps",982
"Perk",10
"Perkins",145
"Perl",7
"Perron",40
"Perry",566
"Persian",74
"Person",99
"Personal",160
"Personally",173
"Pet",151
"Petal",9
"Pete",314
"Peter",1080
"Petersburg",58
"Petersen",24
"Peterson",158
"Petit",33
"Pets",43
"Pettitte",117
"Petty",49
"Peyton",288
"Pfizer",37
"PhD",125
"Pharisees",17
"Phase",61
"Phil",463
"Philadelphia",666
"Philip",239
"Philippine",44
"Philippines",161
"Phillip",130
"Phillips",249
"Philly",387
"Philosophy",36
"Phin",5
"Phineas",11
"Phish",21
"Phoenix",946
"Phoenixarea",6
"Phoenixville",11
"Phone",169
"Photo",163
"Photos",76
"Phrase",9
"Phu",8
"Physical",75
"Physicians",22
"Piano",65
"Picasa",4
"Picasso",65
"Picatinny",8
"PickUpLine",34
"Picked",55
"Pickens",17
"Pickford",10
"Picking",63
"Pickle",26
"Pics",44
"Picture",184
"Pie",158
"Piece",43
"Piepsny",2
"Pierce",196
"Pierre",98
"PierrePaul",20
"Pig",67
"Pike",99
"Pilate",18
"Piles",6
"Pillow",24
"Pillsbury",20
"Pilsner",32
"Pina",10
"Pine",115
"Pineapple",40
"Pink",323
"Pinnacle",50
"Pinot",102
"Pinterest",260
"Pioneer",93
"Pirates",232
"Pistols",19
"Pit",52
"Pitbull",24
"Pitcher",28
"Pitney",7
"Pitt",114
"Pittsburgh",565
"Pittsford",7
"Pizza",314
"Pl",21
"Place",829
"Placed",11
"Places",88
"Plain",340
"Plainfield",52
"Plan",340
"Planet",155
"Planning",245
"Plans",112
"Plant",124
"Planting",19
"Plaster",7
"Plastic",43
"Plates",19
"Platinum",53
"Platte",24
"Play",372
"PlayStation",33
"Played",62
"Player",205
"Players",197
"Playful",9
"Playhouse",46
"Playing",365
"Playoffs",77
"Plaza",282
"Pleasant",82
"Please",2835
"Pleasee",13
"Pledger",11
"Plenty",90
"Pls",91
"Plume",6
"Pluots",3
"Plus",727
"Plymouth",63
"Plywood",3
"Plz",76
"Podcast",29
"Poe",114
"Poems",28
"Poetry",114
"Point",498
"Points",74
"Poisoned",2
"Pokemon",38
"Poland",104
"Polar",33
"Pole",49
"Polensek",8
"Police",1840
"Policies",8
"Policy",171
"Polish",139
"PolitiFact",64
"Political",146
"Politicians",49
"Politics",112
"Polka",17
"Pollution",16
"Polly",43
"Polo",36
"Poly",42
"Pond",56
"Ponzi",41
"Pooh",31
"Pool",91
"Poor",339
"Pop",236
"Popular",46
"Population",33
"Porgy",13
"Port",337
"Porter",213
"Porters",5
"Portland",2160
"Portlandbased",23
"Portmans",4
"Portofino",4
"Portugal",111
"Posada",14
"Posey",51
"Positive",79
"Possibly",83
"Post",655
"PostDispatch",137
"Postgame",2
"Posts",45
"Potatoes",37
"Potential",48
"Potomac",31
"Potosi",10
"Potter",304
"Potts",11
"Poultry",11
"Pour",216
"Poverty",39
"Powell",207
"Power",573
"PowerPoint",40
"Prague",34
"Prairie",111
"Praise",74
"Pray",124
"Prayer",121
"Prayerful",2
"Praying",114
"Preached",2
"Precinct",45
"Predators",131
"Preds",30
"Pregnancy",36
"Preheat",181
"Prehistoric",4
"Prejudice",28
"Premier",114
"Premiere",34
"Premieres",4
"Prepare",101
"Prepared",20
"Preparedness",7
"Preparing",84
"Prepping",33
"Pres",89
"Preseason",6
"Presence",21
"Presentation",47
"Presentations",12
"Presenters",5
"Presenting",32
"Preserve",29
"Presidency",22
"President",2560
"Press",912
"Pressed",16
"Preston",78
"Pretoria",22
"Pretty",689
"Prevent",18
"Prevention",107
"Previous",42
"Previously",60
"Price",342
"Prices",138
"Pride",123
"Prima",63
"Primary",55
"Prince",433
"Princess",215
"Princeton",169
"Principal",92
"Principles",25
"Pringle",18
"Print",78
"Printer",6
"Prints",16
"Prior",89
"Prison",50
"Privacy",31
"Private",173
"Prix",91
"Prize",177
"Pro",339
"ProChoice",8
"ProQuest",5
"Probably",401
"Probate",4
"Problem",124
"Probst",5
"Proceeds",69
"Procter",22
"Producers",39
"Producing",13
"Products",89
"Prof",91
"Professional",140
"Professionals",48
"Professor",212
"Program",385
"Programmers",11
"Programs",39
"Progressive",82
"Project",578
"Projects",50
"Prolly",17
"Prom",107
"Promise",93
"Promised",22
"Promising",11
"Promotions",21
"Property",119
"Prophet",48
"Proportion",4
"Proposition",96
"Prosecutor",192
"Prosecutors",261
"Prospect",72
"Prospects",11
"Prosperity",34
"Protection",232
"Protective",32
"Protestants",22
"Proud",188
"Proven",6
"Proverb",110
"Pruett",3
"Prune",19
"Psalm",162
"Psych",19
"Psyched",23
"Pt",23
"Pub",171
"Public",1134
"Published",44
"Publishing",119
"Pubs",11
"Pueblo",49
"Puerto",145
"Puffy",5
"Pugh",17
"Pugno",5
"Pujols",239
"Pumped",47
"Pumper",41
"Punk",156
"Purdue",81
"Purgefest",2
"Purina",5
"Purpose",34
"Purse",19
"Pursuit",23
"Pushes",3
"Put",522
"Putin",85
"Putnam",34
"Puts",18
"Putting",146
"Putty",4
"Python",42
"Q",1418
"QB",267
"QCOM",2
"QOL",3
"QUESTION",52
"QUIZ",8
"Qadhi",2
"Qaeda",100
"Qatar",44
"Quad",29
"Qualifying",8
"Quaranta",3
"Quarter",94
"Quarterback",37
"Quarterly",20
"Queen",540
"Queens",178
"Quentin",53
"Quesada",3
"Quest",53
"Question",249
"Questions",118
"Quick",241
"Quiet",67
"Quilt",21
"Quincy",51
"Quinton",27
"Quite",201
"Quoc",7
"Quote",142
"Quoted",7
"Quotes",32
"Quoting",12
"Qwell",7
"R",1117
"RACE",13
"RACES",6
"RADIO",29
"RAINBOW",21
"RAKYAT",2
"RAW",51
"RB",209
"RBC",10
"RBI",317
"RBIs",212
"RD",92
"RDA",17
"RE",204
"READING",13
"READY",63
"REALLY",339
"RED",94
"REDS",4
"REGIS",2
"REJECT",2
"RELEASE",17
"REM",23
"REMATCH",3
"REMINDER",15
"REPLAY",3
"RF",31
"RIAA",6
"RICHMOND",9
"RIDING",2
"RIGHT",226
"RIM",40
"RIO",18
"RIP",652
"RKy",5
"RLivonia",2
"RMaple",5
"RMmil",8
"ROBBINSVILLE",2
"ROC",43
"ROCK",114
"ROH",6
"ROLL",19
"RPI",26
"RR",57
"RS",15
"RSA",12
"RSS",47
"RT",17601
"RTWT",2
"RTs",171
"RULE",17
"RUN",54
"RUSH",12
"Ra",33
"Rabbi",53
"Race",226
"Races",28
"Raceway",29
"Rachel",364
"Racing",139
"Racist",13
"Racists",4
"Radford",10
"Radha",10
"Radio",417
"Radiothon",6
"Rae",36
"RaffleOTron",2
"Rafting",8
"Rage",40
"Rags",30
"Rail",57
"Railroad",79
"Rain",259
"Rainbow",101
"Rainmaker",4
"Rainy",52
"Rais",5
"Raise",62
"Rait",3
"Rajon",25
"Rajoy",5
"Raleigh",89
"Ralf",3
"Ralphs",10
"Ram",45
"Ramblas",2
"Rambling",4
"Ramirez",114
"Ramon",90
"Ramona",27
"Rams",433
"Ranch",185
"Rancho",66
"Randal",11
"Random",177
"Randy",281
"Ranger",118
"Rangers",503
"Rango",20
"Rankin",20
"Rants",2
"Rapace",5
"Rapper",16
"Raptor",17
"Raquel",17
"Rashad",18
"Rashid",17
"Rate",39
"Rated",48
"Ratigan",7
"Rating",91
"Rav",12
"Ravel",15
"Raven",95
"Ravens",356
"Raves",4
"Ravine",13
"Ravinia",8
"Raw",81
"Ray",597
"Raymond",165
"Razr",9
"Rd",198
"Rdio",10
"Re",102
"Reach",82
"Reaching",27
"Read",511
"Readathon",2
"Reader",108
"Readers",109
"Reading",445
"Ready",579
"Reagan",248
"Real",748
"RealShit",2
"Realistic",5
"Really",1263
"Realtor",35
"Realty",49
"Rebecca",203
"Rebels",40
"Rec",39
"Recall",33
"Recent",101
"Recently",224
"Recipe",63
"Recipes",45
"Recognize",12
"Recognizes",2
"Recommendations",18
"Recommended",52
"Recon",8
"Record",198
"Recorded",14
"Records",291
"Recover",6
"Recreation",138
"Recruiter",6
"Red",1675
"RedOrbit",2
"Redgrave",10
"Redman",17
"Redstone",7
"Reducing",15
"Reed",259
"Reef",28
"RefWorks",3
"Reflecting",20
"Reflection",14
"Reflections",19
"Reform",104
"Refrigerate",30
"Refs",18
"Regardless",182
"Regents",25
"Reggie",124
"Regina",48
"Regional",293
"Regis",61
"Registrar",12
"Registration",136
"Regrettably",7
"Regrouping",4
"Regular",86
"Rehab",41
"Rehearsal",24
"Rehearsals",12
"Rehman",9
"Reichenbach",7
"Reid",195
"Reiley",3
"Relations",93
"Relativity",15
"Relax",29
"Relaxation",7
"Relaxed",6
"Relay",40
"Releases",11
"Religious",49
"Remains",13
"Remedy",21
"Remember",951
"Reminds",57
"Remote",30
"Removal",9
"Remove",288
"Renaissance",91
"Renaming",2
"Rene",35
"Reno",84
"RenoTahoe",2
"Rented",3
"Reorganized",3
"Rep",815
"Repair",52
"Repeat",118
"Repel",2
"Report",219
"Reporter",50
"Reproductive",20
"Republic",345
"Republican",1929
"Republicandominated",4
"Republicans",1176
"Require",6
"Required",11
"Rescue",134
"Research",487
"Researching",24
"Researchs",2
"Reservations",116
"Reserve",340
"Residencies",2
"Resident",49
"Residents",131
"Residual",4
"Resist",13
"Resonance",6
"Resource",79
"Resources",140
"Respect",115
"Responses",4
"Rest",170
"Restaurant",288
"Restaurants",40
"Restoration",39
"Results",69
"Retirement",70
"Returning",34
"Returns",15
"Retweet",125
"Reunion",53
"Reunited",7
"Reuters",131
"Rev",233
"Reveal",13
"Revealed",13
"Revelations",15
"Revelator",2
"Revenge",73
"Revere",11
"Reverse",23
"Review",296
"Reviews",52
"Revising",5
"Revolution",192
"Revolutionary",44
"Rex",126
"Rey",54
"Reynolds",155
"Rft",2
"Rhapsody",26
"Rhode",82
"Rhodes",65
"Rhubarb",9
"Ria",6
"Ribbon",100
"Rican",35
"Riccardo",7
"Rice",319
"Rich",300
"Richard",932
"Richards",124
"Richardson",231
"Richmond",241
"Rick",737
"Rickey",32
"Rickys",4
"Rico",104
"Ride",124
"Ridge",310
"Ridgely",4
"Right",1245
"Rights",261
"Rigid",2
"Rihanna",115
"Riley",260
"Ring",103
"Rink",8
"Rio",142
"Rios",38
"Riot",33
"Ripper",10
"Ripple",28
"Riri",2
"Rise",113
"Rising",110
"Ritalin",4
"Ritchie",28
"Rive",3
"River",1236
"Rivera",170
"Rivers",133
"Rnds",2
"Roach",23
"Road",1787
"Roast",81
"Rob",408
"Robb",23
"Robbie",82
"Robbins",77
"Robert",1444
"Roberto",73
"Roberts",309
"Robin",309
"Robinson",443
"Robinsons",17
"Robot",36
"Robots",13
"Robyn",46
"Rocco",38
"Rochefoucauld",6
"Rochelle",21
"Rock",1144
"Rocked",14
"Rockers",13
"Rocket",51
"Rockne",2
"Rocks",82
"Rockville",17
"Rocky",204
"Rod",115
"Rode",9
"Rodgers",151
"Rodham",37
"Rodricks",11
"Rodriguez",224
"Rodríguez",4
"Roethlisberger",26
"Rogen",10
"Roger",392
"Rogers",270
"Roland",74
"Roll",304
"Roller",38
"Rollin",32
"Rolling",155
"Romain",7
"Roman",363
"Romance",81
"Romans",158
"Romantic",49
"Rome",237
"Romeo",85
"Romey",3
"Romney",1924
"Romneys",72
"Ron",559
"Ronald",239
"Rondo",136
"Ronnie",120
"Roofing",8
"Room",470
"Rooney",82
"Roots",59
"RootsTech",7
"Roper",9
"Rory",56
"Rosa",92
"Rosario",41
"Rosary",17
"Rose",871
"Rosebud",5
"Roseland",10
"Rosenthal",39
"Roseville",45
"Ross",427
"Rotary",53
"Roths",4
"Rouge",76
"Roughly",33
"Round",209
"Roundtable",29
"Roundup",26
"Route",246
"Rove",34
"Row",145
"Rowland",42
"Rowlands",4
"Roxie",12
"Roxy",35
"Roy",437
"Royal",358
"Royale",27
"Royals",154
"Ru",6
"Ruben",42
"Ruby",120
"Rude",34
"Rudy",104
"Ruffalo",37
"Ruffled",3
"Ruin",8
"Rule",179
"Rules",151
"Rumors",36
"Run",381
"Runner",48
"Runnin",16
"Running",278
"Runs",32
"Rupp",76
"Rural",37
"Rush",275
"Rusko",4
"Russ",90
"Russell",419
"Russes",4
"Russia",354
"Russian",414
"Russians",75
"Russo",216
"Rutgers",351
"Ruth",179
"Ryan",1362
"Ryans",20
"Rye",60
"S",1732
"SAD",42
"SADNESS",2
"SAG",34
"SAN",97
"SANFORD",8
"SANTA",23
"SAT",82
"SATURDAY",82
"SAW",25
"SAYS",13
"SAYSOMETHIN",12
"SB",267
"SCAC",2
"SCAD",8
"SCARED",11
"SCOPE",4
"SCOTT",9
"SD",231
"SDUSD",5
"SEAN",4
"SEASON",29
"SEASONS",4
"SEC",243
"SECCA",16
"SEE",183
"SEEING",4
"SEEN",22
"SEO",101
"SERVING",8
"SET",51
"SETTING",6
"SEVEN",18
"SEXY",46
"SF",438
"SG",26
"SHALL",13
"SHE",135
"SHELTER",3
"SHIRTS",3
"SHIT",159
"SHOULDNT",3
"SHOUT",34
"SHOW",107
"SHOWER",13
"SHUT",41
"SIGNED",11
"SINGAPORE",3
"SINGLE",60
"SIS",22
"SIcom",8
"SJFCU",3
"SLA",32
"SLACKER",2
"SLAM",13
"SLEEP",33
"SLSG",5
"SLYSA",4
"SM",129
"SMALL",20
"SNAP",20
"SNB",2
"SNL",121
"SO",1737
"SOFT",9
"SON",26
"SOPA",73
"SORE",8
"SOS",27
"SOUTH",37
"SP",210
"SPAIN",3
"SPx",3
"SRN",2
"SRP",6
"SRT",6
"SSM",28
"ST",165
"STAND",22
"STEM",34
"STEP",26
"STILL",175
"STLhighschoolsportscom",12
"STOP",207
"STRESS",5
"STYLE",14
"SU",83
"SUCCESS",31
"SUP",8
"SUPER",106
"SURE",44
"SURPRISE",12
"SUV",128
"SW",151
"SXSW",209
"SYDNEY",3
"SYSCON",5
"Saballa",2
"Sabato",9
"Sabbath",44
"Sable",10
"Sabol",6
"Sabrett",2
"Sacher",7
"Sachin",5
"Sachs",87
"Sacramento",603
"Sacs",6
"Sad",319
"Saddam",36
"Sadducees",2
"Sade",12
"Sadie",41
"Sadly",260
"Sadness",19
"Safe",216
"Safety",290
"Saggy",2
"Said",243
"Saint",258
"Saints",337
"Sajid",4
"Sakaguchi",4
"Sake",24
"Sal",49
"Salary",11
"Salas",25
"Salazar",79
"Sale",218
"Salem",195
"Sales",233
"Salespeople",4
"Salina",9
"Salinas",34
"Sally",191
"Salmon",78
"Salt",249
"Salts",5
"Saltzman",33
"Salvation",80
"Sam",783
"Same",437
"Samford",6
"Samples",15
"Sampson",17
"Sams",19
"Samsung",140
"Samuel",198
"San",3600
"Sanchez",230
"Sand",82
"Sanders",127
"Sandinista",5
"Sandler",27
"Sandoval",52
"Sandra",154
"Sandstorm",3
"Sandusky",134
"Sandy",191
"Sanford",80
"Sanger",8
"Sanity",12
"Santa",1034
"Santana",127
"Santaniello",3
"Santas",21
"Santiago",84
"Santino",4
"Santorum",596
"Santos",70
"Sara",190
"Sarah",633
"Sargeant",3
"Sasha",50
"Sat",515
"Satan",153
"Satisfied",10
"Satterfield",10
"Saturday",4832
"Saturdays",240
"Saturn",42
"Saucer",7
"Saudi",175
"Sauvignon",57
"Save",341
"Saverin",5
"Savior",77
"Saviour",24
"Savvy",14
"Saw",370
"Sawgrass",10
"Sawyer",63
"Say",493
"Saying",102
"Says",127
"Scala",13
"Scallops",11
"Scarlet",74
"Scatter",5
"Scattergories",3
"Scenario",12
"Scene",56
"Scenic",22
"Schanberg",2
"Scheme",14
"Schenley",2
"Scherer",9
"Schild",2
"Schmidt",101
"Schneider",103
"Schnucks",20
"Scholar",25
"Scholarship",76
"Scholastic",21
"School",2989
"Schools",360
"Schork",10
"Schrader",31
"Schroeder",32
"Schuchat",3
"Schultz",55
"Schurick",31
"Schwaab",4
"Schweitzer",11
"Science",435
"Sciences",87
"Scientist",22
"Scola",4
"Scorpio",59
"Scorpions",10
"Scorsese",43
"Scotch",72
"Scotia",28
"Scots",25
"Scott",1340
"Scottish",178
"Scottsdale",261
"Scout",150
"Scrabble",27
"Scramble",10
"Scrambled",10
"Scratch",47
"Screen",58
"Screw",74
"Scripture",100
"Scrub",9
"Scrum",4
"Scutaro",15
"Se",30
"Sea",344
"Seacrest",32
"Seafood",49
"Seal",64
"Seals",34
"Sean",389
"Searching",38
"Searchlight",11
"Sears",103
"Seaside",36
"Season",410
"Seating",14
"Seattle",1035
"Seau",233
"Sebastian",86
"Sebastián",4
"Sebring",10
"Second",567
"Secret",383
"Secretary",326
"Security",587
"Seder",10
"Sedin",5
"Seduction",9
"See",2016
"Seed",44
"Seek",47
"Seems",280
"Seen",66
"Segal",20
"Seger",20
"Seiden",2
"Selangor",10
"Select",78
"Selected",30
"Selena",95
"Self",148
"Sell",63
