"ngram_full","ngram_tail","ngram_head","freq"
"added that all of the","the","added that all of",2
"addition to his own hits","hits","addition to his own",2
"adds a wild card element","element","adds a wild card",2
"after a brief period of","of","after a brief period",2
"after a couple of days","days","after a couple of",4
"after a grand jury report","report","after a grand jury",2
"after a while I had","had","after a while I",2
"after he was promoted to","to","after he was promoted",2
"after over a decade of","of","after over a decade",2
"after punching hard surface in","in","after punching hard surface",2
"after the top of the","the","after the top of",2
"again I want to be","be","again I want to",2
"against Julio Cesar Chavez Jr","Jr","against Julio Cesar Chavez",2
"agency because of professional misconduct","misconduct","agency because of professional",2
"ago I don t know","know","ago I don t",2
"ago I wouldn t have","have","ago I wouldn t",3
"agreement between the city and","and","agreement between the city",3
"aim is to provide a","a","aim is to provide",2
"all I want to do","do","all I want to",16
"all at the same time","time","all at the same",37
"all due respect to the","the","all due respect to",2
"all in a days work","work","all in a days",2
"all is not what it","it","all is not what",2
"all is well with you","you","all is well with",28
"all it takes is a","a","all it takes is",4
"all of the people that","that","all of the people",3
"all of the things I","I","all of the things",4
"all of us here at","at","all of us here",6
"all over the place It","It","all over the place",4
"all over the world I","I","all over the world",8
"all that it s cracked","cracked","all that it s",2
"all that matters is the","the","all that matters is",3
"all the boys to the","the","all the boys to",3
"all the joy out of","of","all the joy out",2
"all the mothers out there","there","all the mothers out",8
"all the problems in the","the","all the problems in",2
"all the same I ve","ve","all the same I",2
"all the same to you","you","all the same to",2
"all the time and not","not","all the time and",6
"all the way back to","to","all the way back",23
"all the way out in","in","all the way out",3
"all the way up to","to","all the way up",19
"all the wrong reasons I","I","all the wrong reasons",2
"all they have to do","do","all they have to",4
"all you need is a","a","all you need is",10
"all your hard work I","I","all your hard work",2
"allowed to run its course","course","allowed to run its",2
"allowing them to take the","the","allowing them to take",2
"almost am and I m","m","almost am and I",2
"almost the end of the","the","almost the end of",5
"almost too good to be","be","almost too good to",4
"along the lines of a","a","along the lines of",5
"along the side of the","the","along the side of",6
"along with Lotus Resident DJ","DJ","along with Lotus Resident",6
"also a lot of fun","fun","also a lot of",3
"also a spokesman for the","the","also a spokesman for",2
"also be available for purchase","purchase","also be available for",2
"also like the fact that","that","also like the fact",2
"also make it difficult for","for","also make it difficult",3
"also one of the most","most","also one of the",6
"also said he would be","be","also said he would",2
"also want to make it","it","also want to make",3
"always a good day when","when","always a good day",3
"always a guy that was","was","always a guy that",2
"always feel like the fattest","fattest","always feel like the",2
"always going to be some","some","always going to be",2
"always on hand to help","help","always on hand to",2
"always on the side of","of","always on the side",2
"always seems to be a","a","always seems to be",4
"always takes place in the","the","always takes place in",2
"am I supposed to know","know","am I supposed to",6
"am going to call it","it","am going to call",2
"am going to do that","that","am going to do",2
"am married to a wonderful","wonderful","am married to a",2
"am not a morning person","person","am not a morning",5
"am not sure if I","I","am not sure if",3
"am pm See pg of","of","am pm See pg",2
"am so blessed to have","have","am so blessed to",5
"am so proud of you","you","am so proud of",7
"am supposed to be writing","writing","am supposed to be",2
"am the one and only","only","am the one and",3
"am to pm at the","the","am to pm at",15
"am to pm in the","the","am to pm in",3
"am too lazy to go","go","am too lazy to",2
"am very interested in the","the","am very interested in",2
"amazed at the power of","of","amazed at the power",2
"amazing Thanks for the follow","follow","amazing Thanks for the",2
"among them Plus he s","s","among them Plus he",2
"amount of time and causes","causes","amount of time and",2
"amounts to about a percent","percent","amounts to about a",2
"ample time to think about","about","ample time to think",2
"an END except for family","family","an END except for",2
"an early lead in the","the","an early lead in",2
"an extra week to participate","participate","an extra week to",2
"an eye out for them","them","an eye out for",2
"an income tax surcharge on","on","an income tax surcharge",2
"an increasing amount of attention","attention","an increasing amount of",2
"analyst for the NPD Group","Group","analyst for the NPD",2
"and France s CAC rose","rose","and France s CAC",3
"and I am proud of","of","and I am proud",2
"and I am ready to","to","and I am ready",4
"and I am still working","working","and I am still",2
"and I are so proud","proud","and I are so",2
"and I can say I","I","and I can say",2
"and I can t sleep","sleep","and I can t",6
"and I can t wait","wait","and I can t",59
"and I d love to","to","and I d love",12
"and I didn t even","even","and I didn t",17
"and I didn t know","know","and I didn t",7
"and I don t even","even","and I don t",17
"and I don t worry","worry","and I don t",2
"and I fell in love","love","and I fell in",7
"and I got to be","be","and I got to",2
"and I have been on","on","and I have been",4
"and I have decided to","to","and I have decided",5
"and I have no idea","idea","and I have no",14
"and I have to confess","confess","and I have to",2
"and I haven t lost","lost","and I haven t",2
"and I just can t","t","and I just can",7
"and I just woke up","up","and I just woke",6
"and I knew I was","was","and I knew I",4
"and I know it s","s","and I know it",3
"and I know nothing about","about","and I know nothing",2
"and I ll be in","in","and I ll be",5
"and I ll come say","say","and I ll come",2
"and I ll end up","up","and I ll end",2
"and I m happy I","I","and I m happy",4
"and I m not afraid","afraid","and I m not",3
"and I m pretty much","much","and I m pretty",2
"and I said That s","s","and I said That",2
"and I was able to","to","and I was able",32
"and I was having a","a","and I was having",2
"and I was supposed to","to","and I was supposed",2
"and I was wondering if","if","and I was wondering",4
"and I wasn t expecting","expecting","and I wasn t",2
"and I went down to","to","and I went down",3
"and I will give you","you","and I will give",11
"and Spence have sizable artichoke","artichoke","and Spence have sizable",2
"and The Tears of a","a","and The Tears of",2
"and a chance to win","win","and a chance to",4
"and a federal appeals court","court","and a federal appeals",2
"and a half years ago","ago","and a half years",9
"and a quarter of a","a","and a quarter of",2
"and a super nice guy","guy","and a super nice",2
"and a trip to the","the","and a trip to",10
"and after a couple of","of","and after a couple",5
"and are willing to invest","invest","and are willing to",2
"and as far as I","I","and as far as",7
"and as far away as","as","and as far away",2
"and bake for about minutes","minutes","and bake for about",8
"and ball fields that could","could","and ball fields that",2
"and be able to use","use","and be able to",3
"and be part of the","the","and be part of",3
"and be sure to check","check","and be sure to",3
"and being a part of","of","and being a part",8
"and can t wait to","to","and can t wait",40
"and cant get to sleep","sleep","and cant get to",2
"and causes the most amount","amount","and causes the most",2
"and check out our new","new","and check out our",4
"and check out the latest","latest","and check out the",2
"and chief executive of the","the","and chief executive of",10
"and cook for a further","further","and cook for a",3
"and cook until golden brown","brown","and cook until golden",2
"and couldn t be more","more","and couldn t be",5
"and couldn t believe what","what","and couldn t believe",2
"and dear to my heart","heart","and dear to my",7
"and didn t walk a","a","and didn t walk",4
"and dip it into the","the","and dip it into",4
"and doesn t know how","how","and doesn t know",2
"and economic development in the","the","and economic development in",2
"and enjoys hanging out with","with","and enjoys hanging out",2
"and even a couple of","of","and even a couple",4
"and faces up to years","years","and faces up to",3
"and fill out an app","app","and fill out an",2
"and for a family of","of","and for a family",5
"and for better or worse","worse","and for better or",3
"and for that I am","am","and for that I",6
"and for the past two","two","and for the past",2
"and from am to pm","pm","and from am to",4
"and get to know them","them","and get to know",2
"and give me a shoutout","shoutout","and give me a",2
"and got caught only to","to","and got caught only",2
"and handed it to her","her","and handed it to",2
"and have really enjoyed it","it","and have really enjoyed",2
"and he s a super","super","and he s a",2
"and headed straight for the","the","and headed straight for",3
"and held on for a","a","and held on for",3
"and his family live in","in","and his family live",2
"and hit the streets I","I","and hit the streets",2
"and holding onto each other","other","and holding onto each",2
"and how its such a","a","and how its such",2
"and how much you can","can","and how much you",2
"and how to make the","the","and how to make",3
"and if you have a","a","and if you have",5
"and in Item C above","above","and in Item C",3
"and in the midst of","of","and in the midst",7
"and is out for the","the","and is out for",4
"and it doesn t seem","seem","and it doesn t",3
"and it feels so good","good","and it feels so",8
"and it has made me","me","and it has made",2
"and it is available now","now","and it is available",2
"and it s not going","going","and it s not",2
"and it should be a","a","and it should be",6
"and it turns out to","to","and it turns out",2
"and it was a very","very","and it was a",2
"and it was like a","a","and it was like",4
"and it would have been","been","and it would have",6
"and it would make my","my","and it would make",3
"and it wouldn t be","be","and it wouldn t",2
"and join in with us","us","and join in with",2
"and just can t find","find","and just can t",2
"and leave a comment I","I","and leave a comment",2
"and leave her a comment","comment","and leave her a",2
"and leave your comments below","below","and leave your comments",3
"and lemon juice in a","a","and lemon juice in",2
"and let her know i","i","and let her know",2
"and let us know if","if","and let us know",9
"and local sponsor at the","the","and local sponsor at",2
"and make do with what","what","and make do with",2
"and make it clear that","that","and make it clear",3
"and make sure that they","they","and make sure that",3
"and maybe a few more","more","and maybe a few",3
"and more than a little","little","and more than a",5
"and more to do with","with","and more to do",3
"and most oral care products","products","and most oral care",19
"and not just because I","I","and not just because",4
"and now to SAYSOMETHIN You","You","and now to SAYSOMETHIN",2
"and other critics say the","the","and other critics say",2
"and paying attention to the","the","and paying attention to",6
"and popped them in the","the","and popped them in",2
"and prayers are with you","you","and prayers are with",10
"and preheat the oven to","to","and preheat the oven",4
"and released pending a court","court","and released pending a",3
"and rushed to a hospital","hospital","and rushed to a",2
"and said he wouldn t","t","and said he wouldn",3
"and say I don t","t","and say I don",3
"and says I don t","t","and says I don",2
"and see what I can","can","and see what I",3
"and see what they have","have","and see what they",3
"and sell the Admiral to","to","and sell the Admiral",3
"and separation of church and","and","and separation of church",2
"and served time in prison","prison","and served time in",3
"and set it in the","the","and set it in",2
"and she s all about","about","and she s all",2
"and show her some love","love","and show her some",3
"and simmer until the vegetables","vegetables","and simmer until the",2
"and spending time with his","his","and spending time with",2
"and stares at the wall","wall","and stares at the",2
"and state and local taxes","taxes","and state and local",2
"and stay in touch with","with","and stay in touch",2
"and stay tuned for more","more","and stay tuned for",2
"and tell me what you","you","and tell me what",13
"and tell your followers to","to","and tell your followers",2
"and thank you for the","the","and thank you for",12
"and thanks for bearing with","with","and thanks for bearing",2
"and thanks for the follow","follow","and thanks for the",11
"and thanks so much for","for","and thanks so much",4
"and that in order to","to","and that in order",2
"and that is what matters","matters","and that is what",2
"and that it is a","a","and that it is",5
"and that s a fact","fact","and that s a",3
"and that s a real","real","and that s a",2
"and that s why I","I","and that s why",14
"and that s why a","a","and that s why",2
"and that the people who","who","and that the people",2
"and that there s a","a","and that there s",2
"and that they will not","not","and that they will",3
"and thats the way its","its","and thats the way",2
"and the District of Columbia","Columbia","and the District of",20
"and the E Street Band","Band","and the E Street",12
"and the Garden will awaken","awaken","and the Garden will",2
"and the New Hampshire primary","primary","and the New Hampshire",2
"and the Republican Governors Association","Association","and the Republican Governors",2
"and the Temptations including My","My","and the Temptations including",2
"and the beauty of the","the","and the beauty of",2
"and the certainty of a","a","and the certainty of",2
"and the end of the","the","and the end of",12
"and the first step is","is","and the first step",2
"and the first to be","be","and the first to",2
"and the food was as","as","and the food was",2
"and the front of the","the","and the front of",2
"and the loss of a","a","and the loss of",3
"and the owner of the","the","and the owner of",3
"and the roar and your","your","and the roar and",2
"and the state of Ohio","Ohio","and the state of",2
"and the winner will be","be","and the winner will",4
"and then join the conversation","conversation","and then join the",2
"and there are plenty of","of","and there are plenty",4
"and there can be no","no","and there can be",2
"and there is even a","a","and there is even",2
"and there were a few","few","and there were a",3
"and they look forward to","to","and they look forward",2
"and they re looking for","for","and they re looking",2
"and this is crazy But","But","and this is crazy",5
"and to Washington DC for","for","and to Washington DC",15
"and to be able to","to","and to be able",9
"and to commend those who","who","and to commend those",2
"and to make it even","even","and to make it",2
"and turned them over to","to","and turned them over",2
"and wait for it to","to","and wait for it",3
"and walked out to the","the","and walked out to",2
"and wanted to give it","it","and wanted to give",5
"and wants to know if","if","and wants to know",2
"and was able to get","get","and was able to",3
"and we all know that","that","and we all know",4
"and we are going to","to","and we are going",9
"and we are not to","to","and we are not",3
"and we didn t see","see","and we didn t",5
"and we don t even","even","and we don t",4
"and we don t know","know","and we don t",5
"and we don t want","want","and we don t",7
"and we have to work","work","and we have to",2
"and we ll also be","be","and we ll also",3
"and we need to make","make","and we need to",2
"and we re in a","a","and we re in",3
"and we will continue to","to","and we will continue",4
"and went on a run","run","and went on a",2
"and what I needed to","to","and what I needed",2
"and what does it say","say","and what does it",2
"and when that happens it","it","and when that happens",2
"and while I don t","t","and while I don",3
"and will be played at","at","and will be played",2
"and will continue to be","be","and will continue to",16
"and worked as a session","session","and worked as a",2
"and would love to hear","hear","and would love to",4
"and you can t tell","tell","and you can t",3
"and you don t know","know","and you don t",8
"and you don t need","need","and you don t",2
"and you have to go","go","and you have to",4
"and you re tired when","when","and you re tired",3
"and you will never pay","pay","and you will never",3
"and your ears begin to","to","and your ears begin",2
"and your reaction to it","it","and your reaction to",2
"anniversary of the Sept attacks","attacks","anniversary of the Sept",3
"anniversary of the Titanic disaster","disaster","anniversary of the Titanic",2
"announced Thursday that it will","will","announced Thursday that it",2
"anonymity because they were not","not","anonymity because they were",12
"another way to look at","at","another way to look",2
"answer any questions for you","you","answer any questions for",2
"answer to that question is","is","answer to that question",9
"any better we may have","have","any better we may",2
"any day of the week","week","any day of the",8
"any questions about any of","of","any questions about any",2
"anybody who disagrees with us","us","anybody who disagrees with",2
"anyone tell me what the","the","anyone tell me what",3
"anyone you know is looking","looking","anyone you know is",2
"anything I can do to","to","anything I can do",10
"anything that doesn t involve","involve","anything that doesn t",3
"anyway gambled won and got","got","anyway gambled won and",2
"apart from the rest of","of","apart from the rest",5
"appear out of thin air","air","appear out of thin",2
"appear to be seriously injured","injured","appear to be seriously",2
"appearance to women by watching","watching","appearance to women by",6
"appeared to be natural causes","causes","appeared to be natural",3
"appears on the November ballot","ballot","appears on the November",2
"appears to be no connection","connection","appears to be no",2
"appears to be the case","case","appears to be the",2
"appreciate you supporting independent music","music","appreciate you supporting independent",3
"approached by a man who","who","approached by a man",3
"are a lot of people","people","are a lot of",23
"are a lot of questions","questions","are a lot of",4
"are also looking into whether","whether","are also looking into",2
"are always on the side","side","are always on the",2
"are and what you do","do","are and what you",3
"are being made to begin","begin","are being made to",2
"are doing you will be","be","are doing you will",2
"are expected to participate in","in","are expected to participate",4
"are for adults for children","children","are for adults for",2
"are for the first time","time","are for the first",2
"are gearing up for a","a","are gearing up for",3
"are going to be out","out","are going to be",2
"are going to find the","the","are going to find",2
"are going to get a","a","are going to get",9
"are going to make a","a","are going to make",7
"are going to make it","it","are going to make",4
"are having a great day","day","are having a great",7
"are in it for the","the","are in it for",3
"are many people out there","there","are many people out",2
"are more likely to be","be","are more likely to",21
"are not aware of the","the","are not aware of",3
"are not here you are","are","are not here you",2
"are not in the business","business","are not in the",3
"are not the same thing","thing","are not the same",5
"are on the disabled list","list","are on the disabled",6
"are on the run and","and","are on the run",2
"are on the way I","I","are on the way",2
"are on your way to","to","are on your way",4
"are quick to point out","out","are quick to point",4
"are so big and meaty","meaty","are so big and",2
"are so excited about the","the","are so excited about",3
"are so excited to welcome","welcome","are so excited to",3
"are so proud of you","you","are so proud of",5
"are starting to look up","up","are starting to look",2
"are still working on the","the","are still working on",2
"are the rest of us","us","are the rest of",5
"are the same people who","who","are the same people",2
"are the way they are","are","are the way they",3
"are to live in this","this","are to live in",2
"are too good to even","even","are too good to",2
"are trying to tell me","me","are trying to tell",4
"are waiting in the shadows","shadows","are waiting in the",2
"are we going to have","have","are we going to",4
"are willing to invest in","in","are willing to invest",2
"are with you and your","your","are with you and",6
"are you coming to LA","LA","are you coming to",2
"are you doing these days","days","are you doing these",3
"are you going to be","be","are you going to",24
"are you going to watch","watch","are you going to",2
"are you heading to today","today","are you heading to",3
"areas that are important to","to","areas that are important",2
"aren t part of the","the","aren t part of",2
"aren t used to this","this","aren t used to",3
"armed robbery and served time","time","armed robbery and served",2
"around The goal is to","to","around The goal is",2
"around for years though it","it","around for years though",2
"around in the morning and","and","around in the morning",2
"around the corner so I","I","around the corner so",2
"around the same time that","that","around the same time",2
"around to reading it yet","yet","around to reading it",2
"arrived at the scene and","and","arrived at the scene",2
"as America s greatest living","living","as America s greatest",2
"as I have no idea","idea","as I have no",2
"as I know I have","have","as I know I",2
"as I thought that I","I","as I thought that",2
"as I would have liked","liked","as I would have",9
"as a badge of honor","honor","as a badge of",2
"as a federal prosecutor in","in","as a federal prosecutor",2
"as a part of your","your","as a part of",2
"as a tribute to the","the","as a tribute to",4
"as a way to get","get","as a way to",6
"as a whole needs to","to","as a whole needs",3
"as best as I can","can","as best as I",4
"as far as I can","can","as far as I",22
"as far as I know","know","as far as I",26
"as fast as we want","want","as fast as we",2
"as hard as you can","can","as hard as you",5
"as if you were to","to","as if you were",7
"as in the case of","of","as in the case",11
"as it is known by","by","as it is known",2
"as little as possible for","for","as little as possible",2
"as long as I get","get","as long as I",4
"as long as possible The","The","as long as possible",3
"as long as they want","want","as long as they",2
"as long to cook as","as","as long to cook",2
"as many as I could","could","as many as I",2
"as many people as possible","possible","as many people as",9
"as many venues as possible","possible","as many venues as",2
"as much as I love","love","as much as I",16
"as much as I loved","loved","as much as I",3
"as much as I would","would","as much as I",11
"as much as each way","way","as much as each",2
"as much as it hurts","hurts","as much as it",2
"as much as we love","love","as much as we",2
"as much if not more","more","as much if not",5
"as one of the major","major","as one of the",3
"as one of the world","world","as one of the",3
"as part of a massive","massive","as part of a",3
"as quick as you can","can","as quick as you",2
"as quickly as possible I","I","as quickly as possible",2
"as real as they come","come","as real as they",2
"as the head coach at","at","as the head coach",2
"as the most valuable player","player","as the most valuable",2
"as they seem to be","be","as they seem to",2
"as they want to be","be","as they want to",2
"as though it had been","been","as though it had",2
"as told to Plain Dealer","Dealer","as told to Plain",7
"as well as some other","other","as well as some",5
"as well as working with","with","as well as working",2
"as you can That s","s","as you can That",2
"asked him if he wanted","wanted","asked him if he",3
"asked if anyone had a","a","asked if anyone had",2
"asked me if I wanted","wanted","asked me if I",14
"asked me where I was","was","asked me where I",3
"assembly center and ball fields","fields","assembly center and ball",2
"at Fenway dating back to","to","at Fenway dating back",2
"at Indiana UniversityPurdue University Indianapolis","Indianapolis","at Indiana UniversityPurdue University",3
"at New Jersey City University","University","at New Jersey City",4
"at New York Fashion Week","Week","at New York Fashion",3
"at Newark Liberty International Airport","Airport","at Newark Liberty International",10
"at RT if you re","re","at RT if you",2
"at San Jose City College","College","at San Jose City",2
"at Sand Creek pm The","The","at Sand Creek pm",2
"at Send a Smile Kids","Kids","at Send a Smile",2
"at a high personal cost","cost","at a high personal",2
"at a point where we","we","at a point where",3
"at a time when demand","demand","at a time when",2
"at a time when the","the","at a time when",27
"at about pm when the","the","at about pm when",3
"at all I have my","my","at all I have",2
"at anytime of the day","day","at anytime of the",2
"at his home in Los","Los","at his home in",2
"at home mom and I","I","at home mom and",2
"at it I don t","t","at it I don",5
"at least a month probably","probably","at least a month",2
"at least for the first","first","at least for the",4
"at least on the surface","surface","at least on the",3
"at least once a month","month","at least once a",7
"at least once a week","week","at least once a",21
"at least once every day","day","at least once every",2
"at least one of his","his","at least one of",2
"at least part of the","the","at least part of",8
"at least people authorities said","said","at least people authorities",3
"at least twice a month","month","at least twice a",2
"at one of our events","events","at one of our",3
"at pm See you there","there","at pm See you",3
"at pm make sure you","you","at pm make sure",2
"at pm on May th","th","at pm on May",2
"at pm on Tuesday May","May","at pm on Tuesday",3
"at points per game and","and","at points per game",3
"at school I love the","the","at school I love",2
"at the Catholic University of","of","at the Catholic University",2
"at the European Patent Office","Office","at the European Patent",2
"at the Homeland Security Department","Department","at the Homeland Security",2
"at the Indiana University Robert","Robert","at the Indiana University",2
"at the Juvenile Justice Center","Center","at the Juvenile Justice",3
"at the National Center for","for","at the National Center",2
"at the University of California","California","at the University of",26
"at the University of Central","Central","at the University of",4
"at the University of Michigan","Michigan","at the University of",14
"at the University of Pennsylvania","Pennsylvania","at the University of",16
"at the World Trade Center","Center","at the World Trade",10
"at the age of in","in","at the age of",2
"at the beginning and end","end","at the beginning and",3
"at the beginning and the","the","at the beginning and",3
"at the bottom of the","the","at the bottom of",91
"at the center of the","the","at the center of",36
"at the direction of the","the","at the direction of",2
"at the end of March","March","at the end of",17
"at the end of November","November","at the end of",5
"at the end of and","and","at the end of",4
"at the end of my","my","at the end of",21
"at the end of the","the","at the end of",565
"at the end of this","this","at the end of",59
"at the entrance to the","the","at the entrance to",12
"at the fastest pace in","in","at the fastest pace",14
"at the feet of the","the","at the feet of",2
"at the ground level to","to","at the ground level",2
"at the gym and then","then","at the gym and",2
"at the hands of the","the","at the hands of",8
"at the height of the","the","at the height of",23
"at the hotel in Chicago","Chicago","at the hotel in",2
"at the last minute but","but","at the last minute",2
"at the most inopportune times","times","at the most inopportune",3
"at the same rate as","as","at the same rate",3
"at the same time I","I","at the same time",77
"at the same time RT","RT","at the same time",2
"at the same time We","We","at the same time",6
"at the same time last","last","at the same time",3
"at the same time not","not","at the same time",2
"at the same time they","they","at the same time",8
"at the same time with","with","at the same time",2
"at the scene of the","the","at the scene of",12
"at the side of the","the","at the side of",12
"at the start of the","the","at the start of",58
"at the surface of the","the","at the surface of",3
"at the time I was","was","at the time I",6
"at the time of day","day","at the time of",2
"at the time of the","the","at the time of",84
"at the top of his","his","at the top of",20
"at the top of the","the","at the top of",130
"at this point I have","have","at this point I",4
"at this point in time","time","at this point in",16
"at this time I have","have","at this time I",4
"attempts to pin down how","how","attempts to pin down",2
"attention to the way you","you","attention to the way",6
"attention to their limitations again","again","attention to their limitations",3
"authorized to talk to the","the","authorized to talk to",2
"available at your service tomorrow","tomorrow","available at your service",2
"available for purchase at the","the","available for purchase at",2
"average fell points or percent","percent","average fell points or",4
"average rose percent Britain s","s","average rose percent Britain",3
"averaging points rebounds and assists","assists","averaging points rebounds and",4
"aware of it at the","the","aware of it at",2
"away from the fact that","that","away from the fact",5
"away from where we live","live","away from where we",2
"awesome Thank you for all","all","awesome Thank you for",2
"awkward moment when your friends","friends","awkward moment when your",2
"babies born to women under","under","babies born to women",2
"baby just to let me","me","baby just to let",2
"back in the starting lineup","lineup","back in the starting",3
"back the rest of the","the","back the rest of",3
"back to high school and","and","back to high school",2
"back to how it used","used","back to how it",2
"back to sleep I m","m","back to sleep I",2
"back to some of the","the","back to some of",2
"back to the good old","old","back to the good",3
"back to the person I","I","back to the person",2
"bad I didn t know","know","bad I didn t",3
"bad way to spend a","a","bad way to spend",2
"baffled by the fact that","that","baffled by the fact",2
"bake stuffing separately in a","a","bake stuffing separately in",2
"baking powder baking soda salt","salt","baking powder baking soda",4
"baking sheet and bake until","until","baking sheet and bake",2
"baking sheet in the oven","oven","baking sheet in the",4
"balance of power in the","the","balance of power in",4
"ball fields that could be","be","ball fields that could",2
"ball from her sometimes but","but","ball from her sometimes",2
"bankruptcy in the early s","s","bankruptcy in the early",2
"banks previously has been convicted","convicted","banks previously has been",2
"banned for life from representing","representing","banned for life from",2
"bar Reservations and credit cards","cards","bar Reservations and credit",16
"battle it out for the","the","battle it out for",3
"be a bit of a","a","be a bit of",20
"be a cold day in","in","be a cold day",2
"be a good idea to","to","be a good idea",16
"be a guest on the","the","be a guest on",3
"be a nice day today","today","be a nice day",2
"be a part of history","history","be a part of",4
"be a part of the","the","be a part of",68
"be able to choose a","a","be able to choose",3
"be able to continue to","to","be able to continue",4
"be able to do it","it","be able to do",16
"be able to do some","some","be able to do",2
"be able to find a","a","be able to find",8
"be able to get out","out","be able to get",8
"be able to relax and","and","be able to relax",2
"be able to respond to","to","be able to respond",3
"be able to understand the","the","be able to understand",3
"be able to use the","the","be able to use",12
"be able to write off","off","be able to write",2
"be allowed to run its","its","be allowed to run",2
"be amazed at all the","the","be amazed at all",2
"be an extra week to","to","be an extra week",2
"be an issue if the","the","be an issue if",2
"be announced here on the","the","be announced here on",2
"be available for purchase at","at","be available for purchase",3
"be built on the land","land","be built on the",2
"be directly linked to the","the","be directly linked to",3
"be doing the same thing","thing","be doing the same",5
"be grateful that I have","have","be grateful that I",2
"be held later this month","month","be held later this",2
"be here in less than","than","be here in less",3
"be in line at the","the","be in line at",2
"be made in the near","near","be made in the",2
"be more than we are","are","be more than we",3
"be more than willing to","to","be more than willing",4
"be natural causes David Satterfield","Satterfield","be natural causes David",2
"be nice to think that","that","be nice to think",3
"be part of something special","special","be part of something",3
"be placed on the brackets","brackets","be placed on the",2
"be reached at lreileysptimescom or","or","be reached at lreileysptimescom",2
"be reached for comment Monday","Monday","be reached for comment",5
"be ready to join the","the","be ready to join",4
"be sure not to miss","miss","be sure not to",2
"be sure to check out","out","be sure to check",21
"be sure to have a","a","be sure to have",2
"be the Savior of the","the","be the Savior of",2
"be the best way to","to","be the best way",11
"be the death of me","me","be the death of",27
"be the last time you","you","be the last time",3
"be the team s No","No","be the team s",3
"be used by the city","city","be used by the",2
"beach are you heading to","to","beach are you heading",3
"beautiful I wanna be her","her","beautiful I wanna be",2
"beautiful day in the neighborhood","neighborhood","beautiful day in the",7
"because I am not a","a","because I am not",3
"because I don t care","care","because I don t",4
"because I don t get","get","because I don t",2
"because I hate you and","and","because I hate you",2
"because I knew it would","would","because I knew it",3
"because I know I m","m","because I know I",4
"because I m going to","to","because I m going",5
"because I m the only","only","because I m the",3
"because I thought I was","was","because I thought I",4
"because I wasn t feeling","feeling","because I wasn t",2
"because he didn t have","have","because he didn t",2
"because he had the good","good","because he had the",2
"because it doesn t work","work","because it doesn t",2
"because it s such a","a","because it s such",7
"because love covers over a","a","because love covers over",2
"because of the failures of","of","because of the failures",2
"because of the way it","it","because of the way",5
"because of the way that","that","because of the way",3
"because of the way they","they","because of the way",5
"because they are so big","big","because they are so",2
"because they were not authorized","authorized","because they were not",9
"because you never know what","what","because you never know",6
"because you re a reflection","reflection","because you re a",2
"become a bit of a","a","become a bit of",6
"become more and more expensive","expensive","become more and more",2
"become the equals of men","men","become the equals of",2
"becoming your friend was a","a","becoming your friend was",6
"been a constant in my","my","been a constant in",2
"been a while since I","I","been a while since",31
"been and will continue to","to","been and will continue",7
"been around for years though","though","been around for years",2
"been banned for life from","from","been banned for life",2
"been charged with raping a","a","been charged with raping",2
"been charged with seconddegree murder","murder","been charged with seconddegree",3
"been convicted of armed robbery","robbery","been convicted of armed",2
"been going on since the","the","been going on since",4
"been involved in the investigation","investigation","been involved in the",3
"been so long since I","I","been so long since",10
"been the reward for what","what","been the reward for",3
"been through an awful lot","lot","been through an awful",2
"before I had a chance","chance","before I had a",2
"before Superior Court Judge Bradley","Bradley","before Superior Court Judge",3
"before moving on to the","the","before moving on to",5
"before taking out a knife","knife","before taking out a",2
"before the agency because of","of","before the agency because",2
"before the rest of the","the","before the rest of",3
"begin at am at the","the","begin at am at",3
"begin to pop We walked","walked","begin to pop We",2
"being a part of our","our","being a part of",3
"being able to meet you","you","being able to meet",2
"being the operative word here","here","being the operative word",2
"being told what to do","do","being told what to",6
"believe in yourself when no","no","believe in yourself when",2
"believe it or not I","I","believe it or not",6
"believe it s been years","years","believe it s been",6
"believe that there is a","a","believe that there is",3
"believe there is only one","one","believe there is only",2
"best advice I ever got","got","best advice I ever",2
"best friend in the world","world","best friend in the",7
"best memories I have are","are","best memories I have",2
"best mom in the world","world","best mom in the",3
"best movies of the year","year","best movies of the",3
"best part of the day","day","best part of the",8
"best to make sure that","that","best to make sure",3
"best way to find out","out","best way to find",2
"better than the first one","one","better than the first",2
"better things to do than","than","better things to do",3
"better we may have to","to","better we may have",2
"between man s aspirations and","and","between man s aspirations",2
"between right and wrong and","and","between right and wrong",2
"between the sentiment and the","the","between the sentiment and",2
"beyond a reasonable doubt that","that","beyond a reasonable doubt",4
"big and meaty and delicious","delicious","big and meaty and",2
"big jump a few months","months","big jump a few",2
"biggest fan in the world","world","biggest fan in the",2
"billion at the end of","of","billion at the end",6
"birds with one stone I","I","birds with one stone",2
"birthday to my best friend","friend","birthday to my best",9
"blame the government or discrimination","discrimination","blame the government or",2
"blessed I am to have","have","blessed I am to",5
"blessing to me I am","am","blessing to me I",2
"blessings to all of you","you","blessings to all of",2
"blog keep up the good","good","blog keep up the",2
"blog or online gallery please","please","blog or online gallery",2
"bodes very well for our","our","bodes very well for",2
"bodes well for the rest","rest","bodes well for the",2
"body I don t give","give","body I don t",2
"body was found near the","the","body was found near",2
"book It s Not About","About","book It s Not",2
"book is included in the","the","book is included in",2
