"ngram_full","ngram_tail","ngram_head","freq"
"are so big and","and","are so big",3
"are so excited about","about","are so excited",6
"are so excited to","to","are so excited",16
"are so low that","that","are so low",3
"are so many of","of","are so many",3
"are so many other","other","are so many",5
"are so much more","more","are so much",12
"are so proud of","of","are so proud",15
"are some people who","who","are some people",4
"are some things that","that","are some things",8
"are spending our money","money","are spending our",2
"are starting to look","look","are starting to",6
"are starting to see","see","are starting to",9
"are still learning and","and","are still learning",2
"are still on the","the","are still on",11
"are still out of","of","are still out",3
"are still trying to","to","are still trying",10
"are still working on","on","are still working",13
"are stuck in the","the","are stuck in",6
"are the cross streets","streets","are the cross",2
"are the days of","of","are the days",10
"are the men s","s","are the men",2
"are the odds of","of","are the odds",5
"are the ones that","that","are the ones",33
"are the only two","two","are the only",11
"are the rest of","of","are the rest",7
"are the same people","people","are the same",5
"are the way they","they","are the way",3
"are the way to","to","are the way",6
"are they going to","to","are they going",18
"are those who are","are","are those who",3
"are to live in","in","are to live",2
"are too good to","to","are too good",3
"are too many people","people","are too many",2
"are trying to find","find","are trying to",9
"are trying to keep","keep","are trying to",4
"are trying to tell","tell","are trying to",6
"are very welcome Love","Love","are very welcome",2
"are vying for the","the","are vying for",4
"are waiting in the","the","are waiting in",2
"are we going to","to","are we going",56
"are we gonna do","do","are we gonna",2
"are willing to invest","invest","are willing to",5
"are with you and","and","are with you",7
"are working on new","new","are working on",3
"are you aware that","that","are you aware",3
"are you coming to","to","are you coming",38
"are you doing these","these","are you doing",4
"are you doing to","to","are you doing",29
"are you from I","I","are you from",4
"are you going to","to","are you going",207
"are you heading to","to","are you heading",5
"are you interested in","in","are you interested",6
"are you looking for","for","are you looking",28
"are you on Team","Team","are you on",2
"are you so cute","cute","are you so",2
"are you still on","on","are you still",2
"are you waiting for","for","are you waiting",27
"are you waiting on","on","are you waiting",3
"area and throughout the","the","area and throughout",2
"area and want to","to","area and want",4
"area east of the","the","area east of",2
"areas of the country","country","areas of the",6
"areas of your body","body","areas of your",2
"areas that are important","important","areas that are",2
"areas that are in","in","areas that are",2
"aren t good at","at","aren t good",3
"aren t like that","that","aren t like",2
"aren t part of","of","aren t part",4
"aren t that great","great","aren t that",5
"aren t the ones","ones","aren t the",8
"aren t used to","to","aren t used",11
"armed criminal action A","A","armed criminal action",2
"armed robbery and served","served","armed robbery and",2
"around The goal is","is","around The goal",2
"around and began to","to","around and began",2
"around for years though","though","around for years",2
"around his neck and","and","around his neck",2
"around in front of","of","around in front",2
"around in the flowers","flowers","around in the",2
"around in the morning","morning","around in the",2
"around like a madwoman","madwoman","around like a",3
"around so I am","am","around so I",2
"around the clock to","to","around the clock",3
"around the corner so","so","around the corner",3
"around the dance floor","floor","around the dance",2
"around the same time","time","around the same",24
"around the table and","and","around the table",3
"around the waist and","and","around the waist",2
"around the world Another","Another","around the world",2
"around the world and","and","around the world",31
"around to reading it","it","around to reading",2
"around to visit all","all","around to visit",2
"arrived at the scene","scene","arrived at the",8
"article I wrote for","for","article I wrote",2
"as America s greatest","greatest","as America s",2
"as I can tell","tell","as I can",26
"as I can to","to","as I can",7
"as I could find","find","as I could",2
"as I get to","to","as I get",8
"as I go along","along","as I go",6
"as I had hoped","hoped","as I had",10
"as I have no","no","as I have",2
"as I know I","I","as I know",4
"as I know he","he","as I know",4
"as I like the","the","as I like",2
"as I need them","them","as I need",2
"as I thought that","that","as I thought",2
"as I tried to","to","as I tried",13
"as I tweet that","that","as I tweet",2
"as I ve been","been","as I ve",13
"as I was able","able","as I was",4
"as I would have","have","as I would",15
"as I write the","the","as I write",3
"as President George W","W","as President George",5
"as a JanPro Sacramento","Sacramento","as a JanPro",3
"as a badge of","of","as a badge",4
"as a boy he","he","as a boy",3
"as a company that","that","as a company",4
"as a family We","We","as a family",2
"as a federal prosecutor","prosecutor","as a federal",3
"as a football player","player","as a football",3
"as a fundraiser for","for","as a fundraiser",5
"as a group as","as","as a group",2
"as a homicide but","but","as a homicide",2
"as a judge on","on","as a judge",2
"as a loss of","of","as a loss",2
"as a major league","league","as a major",2
"as a means of","of","as a means",32
"as a part of","of","as a part",26
"as a person and","and","as a person",7
"as a personal trainer","trainer","as a personal",4
"as a place of","of","as a place",2
"as a place to","to","as a place",11
"as a result of","of","as a result",222
"as a second language","language","as a second",10
"as a senior citizen","citizen","as a senior",2
"as a senior in","in","as a senior",7
"as a social media","media","as a social",3
"as a sort of","of","as a sort",31
"as a tax on","on","as a tax",2
"as a tribute to","to","as a tribute",17
"as a way to","to","as a way",126
"as a whole needs","needs","as a whole",3
"as an exercise in","in","as an exercise",2
"as anything more than","than","as anything more",2
"as being on a","a","as being on",2
"as best as I","I","as best as",4
"as close to the","the","as close to",16
"as efficiently as possible","possible","as efficiently as",2
"as executive vice president","president","as executive vice",2
"as far as I","I","as far as",89
"as far away as","as","as far away",23
"as fast as we","we","as fast as",7
"as good as I","I","as good as",21
"as good as the","the","as good as",45
"as good as they","they","as good as",12
"as hard as you","you","as hard as",9
"as he gave us","us","as he gave",2
"as high as percent","percent","as high as",8
"as if I m","m","as if I",5
"as if its the","the","as if its",2
"as if they were","were","as if they",46
"as if you have","have","as if you",3
"as if you were","were","as if you",21
"as in the case","case","as in the",12
"as in the first","first","as in the",8
"as it does for","for","as it does",6
"as it goes along","along","as it goes",3
"as it is about","about","as it is",5
"as it is in","in","as it is",14
"as it is known","known","as it is",5
"as it is now","now","as it is",14
"as it looks like","like","as it looks",2
"as it was getting","getting","as it was",2
"as it was intended","intended","as it was",3
"as it would be","be","as it would",3
"as it wound its","its","as it wound",2
"as little as possible","possible","as little as",18
"as long as I","I","as long as",98
"as long as possible","possible","as long as",27
"as long as they","they","as long as",80
"as long as you","you","as long as",129
"as long to cook","cook","as long to",2
"as many as I","I","as many as",4
"as many as to","to","as many as",2
"as many people as","as","as many people",19
"as many venues as","as","as many venues",2
"as much as I","I","as much as",217
"as much as a","a","as much as",37
"as much as anyone","anyone","as much as",11
"as much as each","each","as much as",2
"as much as it","it","as much as",33
"as much as the","the","as much as",74
"as much as we","we","as much as",47
"as much attention to","to","as much attention",2
"as much if not","not","as much if",5
"as much to blame","blame","as much to",4
"as much traction as","as","as much traction",2
"as my Mom really","really","as my Mom",2
"as of last year","year","as of last",2
"as one of the","the","as one of",218
"as opposed to a","a","as opposed to",21
"as opposed to the","the","as opposed to",44
"as outlined in the","the","as outlined in",3
"as part of a","a","as part of",178
"as part of my","my","as part of",20
"as part of the","the","as part of",229
"as part of their","their","as part of",38
"as perfect as they","they","as perfect as",2
"as possible I m","m","as possible I",7
"as possible and they","they","as possible and",2
"as possible for the","the","as possible for",2
"as possible in the","the","as possible in",3
"as precisely as possible","possible","as precisely as",2
"as quick as you","you","as quick as",2
"as quickly as I","I","as quickly as",4
"as quickly as it","it","as quickly as",7
"as quickly as possible","possible","as quickly as",37
"as real as they","they","as real as",2
"as seen from the","the","as seen from",2
"as small as the","the","as small as",5
"as soon as I","I","as soon as",151
"as soon as Tuesday","Tuesday","as soon as",2
"as soon as it","it","as soon as",32
"as soon as possible","possible","as soon as",77
"as swiftly as possible","possible","as swiftly as",2
"as that of the","the","as that of",6
"as the GOP presidential","presidential","as the GOP",2
"as the Son of","of","as the Son",4
"as the date he","he","as the date",2
"as the guy in","in","as the guy",2
"as the head coach","coach","as the head",5
"as the most valuable","valuable","as the most",2
"as the others but","but","as the others",3
"as the supreme authority","authority","as the supreme",2
"as there are no","no","as there are",3
"as they arise and","and","as they arise",2
"as they grow older","older","as they grow",2
"as they have already","already","as they have",2
"as they have no","no","as they have",3
"as they held a","a","as they held",2
"as they once were","were","as they once",4
"as they say in","in","as they say",8
"as they seem to","to","as they seem",5
"as they want to","to","as they want",3
"as they were no","no","as they were",2
"as those who are","are","as those who",3
"as though everything is","is","as though everything",7
"as though it had","had","as though it",3
"as to how or","or","as to how",2
"as to why you","you","as to why",6
"as told to Plain","Plain","as told to",7
"as we all know","know","as we all",17
"as we know it","it","as we know",36
"as we often do","do","as we often",2
"as we started working","working","as we started",2
"as we try to","to","as we try",3
"as we want it","it","as we want",2
"as well It makes","makes","as well It",3
"as well It s","s","as well It",14
"as well and now","now","as well and",2
"as well and will","will","as well and",2
"as well as a","a","as well as",254
"as well as him","him","as well as",2
"as well as his","his","as well as",35
"as well as professional","professional","as well as",2
"as well as some","some","as well as",52
"as well as the","the","as well as",415
"as well as working","working","as well as",2
"as well have been","been","as well have",21
"as well i love","love","as well i",2
"as well so we","we","as well so",4
"as you can That","That","as you can",2
"as you do your","your","as you do",2
"as you thought I","I","as you thought",2
"as you would expect","expect","as you would",5
"as young as This","This","as young as",2
"ashamed to admit I","I","ashamed to admit",2
"ask a lot of","of","ask a lot",4
"ask for help when","when","ask for help",4
"ask him to put","put","ask him to",2
"ask if I could","could","ask if I",6
"ask people to follow","follow","ask people to",3
"asked for copies of","of","asked for copies",3
"asked him if he","he","asked him if",19
"asked if I was","was","asked if I",15
"asked if anyone had","had","asked if anyone",3
"asked if he had","had","asked if he",9
"asked me if I","I","asked me if",49
"asked me one day","day","asked me one",2
"asked me to make","make","asked me to",11
"asked me to name","name","asked me to",2
"asked me what my","my","asked me what",3
"asked me where I","I","asked me where",5
"asked to be the","the","asked to be",4
"asked why he never","never","asked why he",2
"asking for help in","in","asking for help",2
"asking if I had","had","asking if I",2
"asleep on the couch","couch","asleep on the",9
"aspirations and his limitations","limitations","aspirations and his",2
"assembly center and ball","ball","assembly center and",2
"assume I ve been","been","assume I ve",2
"assume that I m","m","assume that I",2
"assure you that this","this","assure you that",3
"at After the Races","Races","at After the",2
"at Brush High School","School","at Brush High",2
"at Buffalo Wild Wings","Wings","at Buffalo Wild",3
"at Cashman Field today","today","at Cashman Field",2
"at Fenway dating back","back","at Fenway dating",2
"at Indiana UniversityPurdue University","University","at Indiana UniversityPurdue",3
"at New Jersey City","City","at New Jersey",4
"at New York Fashion","Fashion","at New York",3
"at Newark Liberty International","International","at Newark Liberty",10
"at Power Plant Live","Live","at Power Plant",2
"at Princeton University said","said","at Princeton University",2
"at RT if you","you","at RT if",2
"at San Jose City","City","at San Jose",2
"at Sand Creek pm","pm","at Sand Creek",2
"at Send a Smile","Smile","at Send a",2
"at St John s","s","at St John",9
"at St John the","the","at St John",2
"at The Boulevard Mall","Mall","at The Boulevard",2
"at The Q The","The","at The Q",4
"at The Q during","during","at The Q",2
"at UC Davis who","who","at UC Davis",3
"at We had a","a","at We had",2
"at Wild Orchid Challenge","Challenge","at Wild Orchid",2
"at a bar and","and","at a bar",7
"at a high personal","personal","at a high",2
"at a map and","and","at a map",3
"at a point where","where","at a point",8
"at a price of","of","at a price",3
"at a time The","The","at a time",20
"at a time and","and","at a time",55
"at a time of","of","at a time",18
"at a time when","when","at a time",133
"at about pm when","when","at about pm",5
"at all I have","have","at all I",9
"at all costs I","I","at all costs",2
"at all this season","season","at all this",2
"at am at the","the","at am at",15
"at am for you","you","at am for",2
"at am in Talley","Talley","at am in",2
"at an angle that","that","at an angle",3
"at an early age","age","at an early",21
"at an event in","in","at an event",5
"at anything that moves","moves","at anything that",2
"at anytime of the","the","at anytime of",3
"at arm s length","length","at arm s",7
"at each others throats","throats","at each others",4
"at ease when he","he","at ease when",2
"at first but I","I","at first but",7
"at first but then","then","at first but",6
"at his home in","in","at his home",25
"at home I just","just","at home I",2
"at home It was","was","at home It",2
"at home and it","it","at home and",2
"at home by the","the","at home by",2
"at home in its","its","at home in",3
"at home mom and","and","at home mom",3
"at home with the","the","at home with",8
"at in the second","second","at in the",3
"at it I don","don","at it I",5
"at it is to","to","at it is",2
"at it that is","is","at it that",2
"at its height had","had","at its height",2
"at least a few","few","at least a",29
"at least a month","month","at least a",16
"at least for the","the","at least for",26
"at least he doesnt","doesnt","at least he",2
"at least it s","s","at least it",26
"at least minutes and","and","at least minutes",7
"at least on the","the","at least on",7
"at least once The","The","at least once",2
"at least once a","a","at least once",44
"at least once every","every","at least once",5
"at least one of","of","at least one",51
"at least one time","time","at least one",2
"at least part of","of","at least part",11
"at least people authorities","authorities","at least people",3
"at least some of","of","at least some",39
"at least the fans","fans","at least the",2
"at least the kids","kids","at least the",2
"at least there s","s","at least there",3
"at least twice a","a","at least twice",8
"at least two steps","steps","at least two",2
"at least you can","can","at least you",8
"at locations across the","the","at locations across",2
"at me I was","was","at me I",3
"at me as though","though","at me as",3
"at me bro Thank","Thank","at me bro",2
"at my computer and","and","at my computer",5
"at my high school","school","at my high",6
"at my house without","without","at my house",2
"at my inability to","to","at my inability",2
"at night and I","I","at night and",4
"at of the nd","nd","at of the",2
"at one of our","our","at one of",14
"at one of the","the","at one of",70
"at or go to","to","at or go",3
"at or more per","per","at or more",2
"at percent and Texas","Texas","at percent and",3
"at pm EST and","and","at pm EST",3
"at pm Get your","your","at pm Get",2
"at pm See you","you","at pm See",5
"at pm and then","then","at pm and",4
"at pm and was","was","at pm and",2
"at pm at the","the","at pm at",51
"at pm make sure","sure","at pm make",2
"at pm on May","May","at pm on",2
"at pm on Tuesday","Tuesday","at pm on",4
"at pm to the","the","at pm to",2
"at points per game","game","at points per",6
"at risk for developing","developing","at risk for",3
"at school I love","love","at school I",2
"at some of the","the","at some of",52
"at some point my","my","at some point",2
"at some point the","the","at some point",8
"at stake for the","the","at stake for",2
"at th Street Oakland","Oakland","at th Street",2
"at the American Association","Association","at the American",2
"at the American Cancer","Cancer","at the American",2
"at the Catholic University","University","at the Catholic",2
"at the European Patent","Patent","at the European",2
"at the Festival of","of","at the Festival",3
"at the Homeland Security","Security","at the Homeland",2
"at the House of","of","at the House",9
"at the Indiana University","University","at the Indiana",3
"at the Juvenile Justice","Justice","at the Juvenile",3
"at the Kohl Center","Center","at the Kohl",3
"at the Lake County","County","at the Lake",3
"at the Los Angeles","Angeles","at the Los",12
"at the National Center","Center","at the National",2
"at the TPC Louisiana","Louisiana","at the TPC",2
"at the University of","of","at the University",360
"at the World Trade","Trade","at the World",10
"at the age of","of","at the age",115
"at the agencys headquarters","headquarters","at the agencys",2
"at the apartment complex","complex","at the apartment",3
"at the apex of","of","at the apex",2
"at the beginning and","and","at the beginning",16
"at the bottom of","of","at the bottom",154
"at the buzzer to","to","at the buzzer",3
"at the center of","of","at the center",63
"at the cost of","of","at the cost",17
"at the deep end","end","at the deep",3
"at the direction of","of","at the direction",4
"at the door if","if","at the door",3
"at the end he","he","at the end",6
"at the end of","of","at the end",1143
"at the end so","so","at the end",7
"at the entrance to","to","at the entrance",17
"at the fastest pace","pace","at the fastest",15
"at the feet of","of","at the feet",16
"at the gift shop","shop","at the gift",2
"at the golf course","course","at the golf",2
"at the governor s","s","at the governor",10
"at the ground level","level","at the ground",3
"at the gym and","and","at the gym",6
"at the hands of","of","at the hands",53
"at the head and","and","at the head",2
"at the height of","of","at the height",41
"at the hospital in","in","at the hospital",4
"at the hotel in","in","at the hotel",6
"at the intersection of","of","at the intersection",39
"at the last minute","minute","at the last",52
"at the level of","of","at the level",11
"at the library just","just","at the library",2
"at the local level","level","at the local",12
"at the mark for","for","at the mark",2
"at the mention of","of","at the mention",7
"at the most inopportune","inopportune","at the most",5
"at the other end","end","at the other",32
"at the players who","who","at the players",3
"at the power of","of","at the power",3
"at the rd annual","annual","at the rd",2
"at the registration table","table","at the registration",4
"at the right time","time","at the right",48
"at the root of","of","at the root",13
"at the same rate","rate","at the same",7
"at the same time","time","at the same",799
"at the scene and","and","at the scene",15
"at the scene of","of","at the scene",24
"at the senior center","center","at the senior",3
"at the side of","of","at the side",14
"at the sky and","and","at the sky",3
"at the start of","of","at the start",113
"at the state level","level","at the state",21
"at the surface of","of","at the surface",3
"at the table with","with","at the table",6
"at the team s","s","at the team",11
"at the thought of","of","at the thought",30
"at the time I","I","at the time",34
"at the time at","at","at the time",2
"at the time of","of","at the time",159
"at the time or","or","at the time",5
"at the time the","the","at the time",19
"at the time was","was","at the time",29
"at the top of","of","at the top",254
"at the top was","was","at the top",3
"at the very very","very","at the very",2
"at the vet for","for","at the vet",2
"at this late stage","stage","at this late",2
"at this point I","I","at this point",34
"at this point It","It","at this point",3
"at this point We","We","at this point",9
"at this point in","in","at this point",52
"at this time I","I","at this time",19
"at this year s","s","at this year",34
"at times a little","little","at times a",2
"at various stages of","of","at various stages",2
"at which point I","I","at which point",6
"at work I am","am","at work I",3
"at you When I","I","at you When",2
"at your risk May","May","at your risk",2
"at your service tomorrow","tomorrow","at your service",2
"athletics and activities and","and","athletics and activities",2
"attempt to do so","so","attempt to do",3
"attempt to get out","out","attempt to get",2
"attempts to pin down","down","attempts to pin",2
"attention is drawn to","to","attention is drawn",2
"attention to the way","way","attention to the",7
"attention to their limitations","limitations","attention to their",3
"attorney Helen Mac Murray","Murray","attorney Helen Mac",2
"attract a lot of","of","attract a lot",4
"authorized to speak publicly","publicly","authorized to speak",6
"authorized to talk to","to","authorized to talk",2
"available at your service","service","available at your",2
"available for free online","online","available for free",2
"available for purchase at","at","available for purchase",5
"available thanks for the","the","available thanks for",3
"average fell points or","or","average fell points",4
"average rose percent Britain","Britain","average rose percent",3
"averaging points rebounds and","and","averaging points rebounds",9
"avoid a lot of","of","avoid a lot",2
"avoid an accident and","and","avoid an accident",2
"avoid the risk of","of","avoid the risk",3
"awards Just think of","of","awards Just think",2
"aware of it at","at","aware of it",2
"aware of it until","until","aware of it",2
"awareness and funds for","for","awareness and funds",5
"away from each other","other","away from each",10
"away from the fact","fact","away from the",6
"away from the kids","kids","away from the",2
"away from where we","we","away from where",4
"away it s time","time","away it s",3
"away with saying that","that","away with saying",2
"awesome Can t wait","wait","awesome Can t",7
"awesome Thank you for","for","awesome Thank you",8
"awesome What are you","you","awesome What are",2
"awesome let me know","know","awesome let me",2
"awkward moment when I","I","awkward moment when",7
"awkward moment when you","you","awkward moment when",119
"awkward moment when your","your","awkward moment when",37
"aww that s good","good","aww that s",2
"babe I love you","you","babe I love",2
"babies and I m","m","babies and I",2
"babies born to women","women","babies born to",2
"baby just to let","let","baby just to",2
"back a bit later","later","back a bit",2
"back and forth between","between","back and forth",37
"back and forth on","on","back and forth",12
"back and forth with","with","back and forth",18
"back for a victory","victory","back for a",2
"back from an awesome","awesome","back from an",2
"back from lunch with","with","back from lunch",2
"back half of the","the","back half of",2
"back in June when","when","back in June",2
"back in March I","I","back in March",4
"back in as a","a","back in as",2
"back in the starting","starting","back in the",3
"back in the states","states","back in the",8
"back is killing me","me","back is killing",6
"back next year and","and","back next year",4
"back of a spoon","spoon","back of a",11
"back of the yard","yard","back of the",3
"back on my computer","computer","back on my",2
"back on to the","the","back on to",4
"back on top of","of","back on top",6
"back out to the","the","back out to",6
"back room of a","a","back room of",3
"back the rest of","of","back the rest",3
"back to New Jersey","Jersey","back to New",7
"back to high school","school","back to high",7
"back to how it","it","back to how",3
"back to last year","year","back to last",3
"back to my room","room","back to my",7
"back to normal soon","soon","back to normal",4
"back to school already","already","back to school",2
"back to school and","and","back to school",11
"back to school to","to","back to school",6
"back to sleep I","I","back to sleep",16
"back to some of","of","back to some",4
"back to the Bill","Bill","back to the",2
"back to the car","car","back to the",11
"back to the good","good","back to the",6
"back to the island","island","back to the",2
"back to the person","person","back to the",3
"back to the pitcher","pitcher","back to the",2
"back to work tomorrow","tomorrow","back to work",8
"back up on my","my","back up on",2
"bad I didn t","t","bad I didn",11
"bad I need to","to","bad I need",2
"bad If you re","re","bad If you",2
"bad but I just","just","bad but I",3
"bad case of the","the","bad case of",6
"bad news is it","it","bad news is",3
"bad part of town","town","bad part of",2
"bad thing I m","m","bad thing I",3
"bad way to spend","spend","bad way to",6
"baffled by the fact","fact","baffled by the",2
"bag of candy in","in","bag of candy",2
"bake for about minutes","minutes","bake for about",8
"bake stuffing separately in","in","bake stuffing separately",2
"baking powder baking soda","soda","baking powder baking",15
"baking sheet and bake","bake","baking sheet and",13
"baking sheet in the","the","baking sheet in",4
"baking soda salt together","together","baking soda salt",2
"balance of power in","in","balance of power",5
"ball and catch it","it","ball and catch",2
"ball fields that could","could","ball fields that",2
"ball from her sometimes","sometimes","ball from her",2
"ball in the th","th","ball in the",2
"bang for your buck","buck","bang for your",6
"banging on the door","door","banging on the",2
"bankruptcy in the early","early","bankruptcy in the",2
"banks previously has been","been","banks previously has",2
"banned for life from","from","banned for life",2
"bar Reservations and credit","credit","bar Reservations and",16
"based on a limited","limited","based on a",2
"based on his experience","experience","based on his",3
"based on information from","from","based on information",4
"basic idea is to","to","basic idea is",2
"batter into the prepared","prepared","batter into the",4
"battle it out for","for","battle it out",3
"bc I m a","a","bc I m",5
"be a better player","player","be a better",2
"be a better way","way","be a better",13
"be a big deal","deal","be a big",10
"be a bit of","of","be a bit",25
"be a closely watched","watched","be a closely",2
"be a cold day","day","be a cold",2
"be a combination of","of","be a combination",6
"be a death trap","trap","be a death",2
"be a different story","story","be a different",5
"be a done deal","deal","be a done",3
"be a drain on","on","be a drain",3
"be a few more","more","be a few",7
"be a fun challenge","challenge","be a fun",2
"be a fun one","one","be a fun",7
"be a gametime decision","decision","be a gametime",5
"be a good idea","idea","be a good",33
"be a great mom","mom","be a great",2
"be a great time","time","be a great",19
"be a guest on","on","be a guest",7
"be a guiding light","light","be a guiding",2
"be a nice change","change","be a nice",2
"be a nice day","day","be a nice",2
"be a part of","of","be a part",257
"be a patient with","with","be a patient",2
"be a sequel to","to","be a sequel",2
"be a series of","of","be a series",4
"be a tough series","series","be a tough",2
"be a win for","for","be a win",2
"be able to choose","choose","be able to",12
"be able to continue","continue","be able to",9
"be able to do","do","be able to",94
"be able to enjoy","enjoy","be able to",10
"be able to find","find","be able to",55
"be able to get","get","be able to",139
"be able to go","go","be able to",59
"be able to heal","heal","be able to",2
"be able to help","help","be able to",39
"be able to pass","pass","be able to",4
"be able to provide","provide","be able to",20
"be able to relax","relax","be able to",5
"be able to respond","respond","be able to",4
"be able to send","send","be able to",5
"be able to sit","sit","be able to",6
"be able to step","step","be able to",2
"be able to tell","tell","be able to",36
"be able to understand","understand","be able to",10
"be able to use","use","be able to",46
"be able to write","write","be able to",12
"be added to a","a","be added to",3
"be added to the","the","be added to",24
"be ahead of the","the","be ahead of",7
"be allowed in the","the","be allowed in",3
"be allowed to run","run","be allowed to",6
"be amazed at all","all","be amazed at",2
"be an exercise in","in","be an exercise",3
"be an extra week","week","be an extra",2
"be an issue if","if","be an issue",4
"be and that s","s","be and that",2
"be announced here on","on","be announced here",3
"be as cool as","as","be as cool",4
"be as good as","as","be as good",15
"be as small as","as","be as small",4
"be at the other","other","be at the",2
"be available for purchase","purchase","be available for",12
"be available for the","the","be available for",4
"be available in stores","stores","be available in",2
"be available next week","week","be available next",2
"be awesome if it","it","be awesome if",2
"be back in a","a","be back in",16
"be back in the","the","be back in",39
"be back on top","top","be back on",2
"be best of all","all","be best of",2
"be built on the","the","be built on",7
"be close to the","the","be close to",8
"be complete without an","an","be complete without",2
"be confused with the","the","be confused with",9
"be different types of","of","be different types",3
"be directly linked to","to","be directly linked",3
"be displayed at the","the","be displayed at",2
"be doing if I","I","be doing if",2
"be doing the same","same","be doing the",8
"be done After that","that","be done After",2
"be done and so","so","be done and",2
"be done with the","the","be done with",10
"be down to the","the","be down to",3
"be familiar with the","the","be familiar with",9
"be focusing on the","the","be focusing on",4
"be friends with the","the","be friends with",3
"be fun to do","do","be fun to",6
"be giving away some","some","be giving away",4
"be good for the","the","be good for",15
"be grateful that I","I","be grateful that",4
"be great for my","my","be great for",4
"be happy to give","give","be happy to",5
"be held in the","the","be held in",15
"be held later this","this","be held later",6
"be here in less","less","be here in",3
"be here soon and","and","be here soon",2
"be home over the","the","be home over",2
"be honest there s","s","be honest there",2
"be impossible to make","make","be impossible to",2
"be in NYC in","in","be in NYC",2
"be in Tahoe for","for","be in Tahoe",2
"be in charge of","of","be in charge",13
"be in great shape","shape","be in great",3
"be in high school","school","be in high",3
"be in line at","at","be in line",2
"be in my favor","favor","be in my",2
"be in nd grade","grade","be in nd",2
"be included in the","the","be included in",29
"be interested in reading","reading","be interested in",5
"be interested in some","some","be interested in",5
"be interested in trying","trying","be interested in",2
"be just as happy","happy","be just as",2
"be known for something","something","be known for",2
"be looking forward to","to","be looking forward",14
"be made from the","the","be made from",4
"be made in the","the","be made in",8
"be mentioned in the","the","be mentioned in",2
"be more careful in","in","be more careful",2
"be more excited to","to","be more excited",8
"be more fun than","than","be more fun",7
"be more than a","a","be more than",11
"be more than we","we","be more than",4
"be more than willing","willing","be more than",4
"be moving up to","to","be moving up",2
"be natural causes David","David","be natural causes",2
"be nice to think","think","be nice to",5
"be on the cover","cover","be on the",4
"be on the field","field","be on the",10
"be one of the","the","be one of",187
"be out of there","there","be out of",2
"be out soon we","we","be out soon",2
"be out there in","in","be out there",5
"be part of something","something","be part of",5
"be part of the","the","be part of",109
"be placed into a","a","be placed into",3
"be placed on the","the","be placed on",12
"be possible to be","be","be possible to",3
"be prepared to have","have","be prepared to",2
"be purchased by the","the","be purchased by",2
"be put on the","the","be put on",10
"be reached at lreileysptimescom","lreileysptimescom","be reached at",2
"be reached for comment","comment","be reached for",80
"be read in a","a","be read in",2
"be ready for the","the","be ready for",18
"be ready to get","get","be ready to",2
"be ready to join","join","be ready to",4
"be removed from their","their","be removed from",3
"be replaced by an","an","be replaced by",4
"be seen as a","a","be seen as",26
"be seen from the","the","be seen from",9
"be seen in the","the","be seen in",17
"be seen on the","the","be seen on",10
"be seen whether the","the","be seen whether",3
"be set up in","in","be set up",2
"be sitting next to","to","be sitting next",4
"be so close to","to","be so close",7
"be so difficult to","to","be so difficult",3
"be some sort of","of","be some sort",17
"be studying for exams","exams","be studying for",2
"be sure not to","to","be sure not",6
"be sure that it","it","be sure that",2
"be sure to be","be","be sure to",5
"be sure to check","check","be sure to",45
"be sure to double","double","be sure to",2
"be sure to have","have","be sure to",9
"be sure to tell","tell","be sure to",4
"be sure to use","use","be sure to",6
"be surprised to see","see","be surprised to",15
"be taken advantage of","of","be taken advantage",3
"be taken to the","the","be taken to",14
"be talking about I","I","be talking about",2
"be thankful for I","I","be thankful for",4
"be thankful for his","his","be thankful for",2
"be that much more","more","be that much",4
"be that when you","you","be that when",3
"be the Savior of","of","be the Savior",2
"be the best at","at","be the best",7
"be the best way","way","be the best",13
"be the case that","that","be the case",7
"be the death of","of","be the death",32
"be the end of","of","be the end",28
"be the first time","time","be the first",33
"be the last time","time","be the last",19
"be the one to","to","be the one",38
"be the only ones","ones","be the only",3
"be the result of","of","be the result",12
"be the team s","s","be the team",6
"be there I ve","ve","be there I",2
"be there right now","now","be there right",2
"be there will you","you","be there will",3
"be told that I","I","be told that",3
"be treated by a","a","be treated by",3
"be treated with the","the","be treated with",2
"be true It was","was","be true It",2
"be under the radar","radar","be under the",2
"be up this weekend","weekend","be up this",2
"be used as a","a","be used as",32
"be used by the","the","be used by",7
"be used for a","a","be used for",13
"be used for good","good","be used for",2
"be very difficult for","for","be very difficult",5
"be who you are","are","be who you",5
"be with us forever","forever","be with us",2
"be with you You","You","be with you",2
"be worse You could","could","be worse You",3
"be you and me","me","be you and",2
"beach are you heading","heading","beach are you",3
"bears more resemblance to","to","bears more resemblance",2
"beat in the egg","egg","beat in the",2
"beautiful I wanna be","be","beautiful I wanna",2
"beautiful and I got","got","beautiful and I",2
"beautiful day in Seattle","Seattle","beautiful day in",2
"beautiful day in the","the","beautiful day in",18
"beauty of the world","world","beauty of the",4
"became an advocate for","for","became an advocate",2
"became friends this year","year","became friends this",2
"became more of an","an","became more of",3
"became too hard to","to","became too hard",2
"because I am not","not","because I am",21
"because I am too","too","because I am",3
"because I didnt care","care","because I didnt",3
"because I don t","t","because I don",110
"because I dont like","like","because I dont",3
"because I hate you","you","because I hate",4
"because I knew it","it","because I knew",6
"because I knew we","we","because I knew",2
"because I knew you","you","because I knew",2
